Band,Origin,Years Active,Page Title,Summary,
Third Eye Blind,San Francisco,1993–present,Third Eye Blind,"<p class=""mw-empty-elt"">
</p>
<p><b>Third Eye Blind</b> is an American rock band formed in San Francisco, California, in 1993. After years of lineup changes in the early and mid-1990s, the songwriting duo of Stephan Jenkins and Kevin Cadogan signed the band's first major-label recording contract with Elektra Records in 1996. The band released their self-titled debut album in 1997, with the band largely consisting of Jenkins (vocals, rhythm guitar), Cadogan (lead guitar), Arion Salazar (bass guitar), and Brad Hargreaves (drums). Shortly after the release of the band's second album in 1999, <i>Blue</i>, with the same line-up, Cadogan was released from the band under controversial circumstances.
</p><p>The band continued, but with many line-up changes and long gaps between album releases for the next 15 years. The band released <i>Out of the Vein</i> in 2003 and <i>Ursa Major</i> in 2009 with guitarist Tony Fredianelli, but parted ways with him shortly afterwards, leaving only Jenkins and Hargreaves as the remaining core members. The band's lineup stabilized again in the mid-2010s, adding Kryz Reid (lead guitar), Alex Kopp (keyboards), and Alex LeCavalier (bass guitar). The new lineup led to increased output with less time between releases - <i>Dopamine</i> (2015), and a string of EPs, <i>We Are Drugs</i> (2016) and <i>Thanks for Everything</i> (2018). After Kopp was replaced by Colin Creev, a sixth and seventh studio albums <i>Screamer</i> (2019) and <i>Our Bande Apart</i> (2021) were released.
</p><p>The band found commercial success in the late 1990s, with <i>Third Eye Blind</i> and <i>Blue</i> certified platinum six times and single platinum in the United States, respectively.  Several songs were commercial successes as well, with ""Semi-Charmed Life"", ""Jumper"", and ""How's It Going to Be"", all reaching the Top 10 of the US <i>Billboard</i> Hot 100, and ""Never Let You Go"" reaching the Top 20. Third Eye Blind has sold around 12 million records worldwide.</p>


",
,,,,,
TLC,Atlanta,1990–present,TLC (group),"<p class=""mw-empty-elt"">
</p>
<p><b>TLC</b> is an American girl group formed in Atlanta, Georgia in 1990. The group's best-known line-up was composed of Tionne ""T-Boz"" Watkins, Rozonda ""Chilli"" Thomas and Lisa ""Left Eye"" Lopes. The group enjoyed success during the 1990s, with nine top-ten hits on the <i>Billboard</i> Hot 100, including four number-one singles: ""Creep"", ""Waterfalls"", ""No Scrubs"", and ""Unpretty"". The group also recorded four multi-platinum albums, including <i>CrazySexyCool</i> (1994), which received a diamond certification from the Recording Industry Association of America (RIAA). TLC also became the first R&amp;B group in history to receive the Million certification from the Recording Industry Association of Japan (RIAJ) for <i>FanMail</i> (1999).</p><p>Having sold over 65 million records worldwide, TLC is the best-selling American girl group. VH1 ranked TLC as the greatest female group, placing them at number 12 on the list of 100 Greatest Women in Music. <i>Billboard</i> magazine ranked TLC as one of the greatest musical trios, as well as the seventh-most-successful act of the 1990s. The group's accolades include four career Grammy Awards, five MTV Video Music Awards, and five Soul Train Music Awards.
</p><p>Twenty years after their debut, TLC was honored with an award called Outstanding Contribution to Music at the 17th MOBO Awards and with the Legend Award at the 2013 MTV Video Music Awards Japan. Following Lopes's death in 2002, instead of replacing her, the remaining members chose to continue as a duo. In 2017, they released their eponymous fifth album <i>TLC</i>. In 2022, the group was inducted into the Black Music &amp; Entertainment Walk of Fame.</p>",
,,,,,
Kansas,Topeka,,Kansas (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Kansas</b> is an American rock band that became popular during the 1970s initially on album-oriented rock charts and later with hit singles such as ""Carry On Wayward Son"" and ""Dust in the Wind"". The band has produced nine gold albums, three multi-platinum albums (<i>Leftoverture</i> 4×, <i>Point of Know Return</i> 4×, and <i>The Best of Kansas</i> 4×), one other platinum studio album (<i>Monolith</i>), one platinum live double album (<i>Two for the Show</i>), and a million-selling single, ""Dust in the Wind"". Kansas appeared on the US <i>Billboard</i> charts for over 200 weeks throughout the 1970s and 1980s and played to sold-out arenas and stadiums throughout North America, Europe and Japan. ""Carry On Wayward Son"" was the second-most-played track on US classic rock radio in 1995 and No. 1 in 1997.</p>",
,,,,,
The Bravery,New York City,2003–2011|2021–present,The Bravery,"<p class=""mw-empty-elt"">
</p>
<p><b>The Bravery</b> is an American rock band formed in New York City in 2003. The band consists of lead vocalist Sam Endicott, guitarist Michael Zakarin, keyboardist John Conway, bassist Mike Hindert and drummer Anthony Burulcich. They are best known for their 2005 top 10 UK single ""An Honest Mistake"" and their certified gold 2008 single ""Believe"". Before their initial split, they released three studio albums: <i>The Bravery</i> (2005), <i>The Sun and the Moon</i> (2007) and <i>Stir the Blood</i> (2009). They also released a remixed edition of their second album, called <i>The Sun and the Moon Complete</i>, in 2008, as well as an Internet live album called <i>Live at the Wiltern Theater</i> in 2010. The group's music is mostly post-punk, dance-influenced rock.
</p><p>The band was inactive from the early 2010s onward, with Endicott confirming the band's indefinite hiatus in April 2014. On July 31, 2021, The Bravery's website confirmed the return of the group. https://www.justlikeheavenfest.com/
</p>",
,,,,,
Tom Petty and the Heartbreakers,Gainesville,1976–2017 ,Tom Petty and the Heartbreakers,"<p class=""mw-empty-elt"">
</p>


<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Tom Petty and the Heartbreakers</b> was an American rock band from Gainesville, Florida. Formed in 1976, the band originally comprised lead singer and rhythm guitarist Tom Petty, lead guitarist Mike Campbell, keyboardist Benmont Tench, drummer Stan Lynch and bassist Ron Blair. In 1982, Blair, weary of the touring lifestyle, departed the band. His replacement, Howie Epstein, stayed with the band for the next two decades. In 1991, Scott Thurston joined the band as a multi-instrumentalist—mostly on rhythm guitar and second keyboard. In 1994, Steve Ferrone replaced Lynch on drums. Blair returned to the Heartbreakers in 2002, the year before Epstein's death. The band had a long string of hit singles including ""Breakdown"", ""American Girl"", ""Refugee"", ""The Waiting"", ""Learning to Fly"", and ""Mary Jane's Last Dance"", among many others, that stretched over several decades of work.
</p><p>The band's music was characterized as both Southern rock and heartland rock, cited alongside artists such as Bruce Springsteen, Bob Seger, and John Mellencamp as progenitors of that genre that arose in the late 1970s and 1980s.  While the heartland rock movement waned in the 1990s, the band remained active and popular, touring regularly until Petty's death in 2017, after which the Heartbreakers disbanded. Their final studio album, <i>Hypnotic Eye</i>, was released in 2014.
</p><p>The band was inducted into the Rock and Roll Hall of Fame in 2002, their first year of eligibility. Although most of their material was produced and performed under the name ""Tom Petty and the Heartbreakers"", Petty released three solo albums, the most successful of which was <i>Full Moon Fever</i> (1989). In these releases, some members of the band contributed as collaborators, producing and performing as studio musicians.
</p>


",
,,,,,
Sex Pistols,London,,Sex Pistols,"<p class=""mw-empty-elt"">


</p>
<p>The <b>Sex Pistols</b> were an English punk rock band formed in London in 1975. Although their initial career lasted just two and a half years, they were one of the most groundbreaking acts in the history of popular music. They were responsible for initiating the punk movement in the United Kingdom and inspiring many later punk and alternative rock musicians. Their fashion and hairstyles were a significant influence on punk image, and they are often associated with anarchism within music.
</p><p>The Sex Pistols originally comprised vocalist Johnny Rotten (John Lydon), guitarist Steve Jones, drummer Paul Cook, and bassist Glen Matlock; Matlock was replaced by Sid Vicious in early 1977. Under the management of Malcolm McLaren, the band attracted some controversies that both captivated and appalled Britain. Through an obscenity-laced television interview in December 1976 and their May 1977 single ""God Save the Queen"", the latter of which attacked Britons' social conformity and deference to the Crown, calling the monarchy a ""fascist regime"". The release of the song popularised punk rock in the UK. ""God Save the Queen"" was banned by the BBC and nearly every independent radio station in Britain, making it one of the most censored records in British history.
</p><p>The Sex Pistols' only album, <i>Never Mind the Bollocks, Here's the Sex Pistols</i> (1977) — a UK number one — is a staple record of punk rock. In January 1978, at the end of their turbulent tour of the US, Rotten announced the band's break-up. Over the next few months, the three remaining members recorded songs for McLaren's film of the Sex Pistols' story, <i>The Great Rock 'n' Roll Swindle</i>. Vicious died of a heroin overdose in February 1979, following his arrest for the alleged murder of his girlfriend, Nancy Spungen. A film about the couple, <i>Sid and Nancy</i>, was released in 1986. Rotten, Jones, Cook, and Matlock reunited for a successful tour in 1996. Further one-off performances and short tours followed over the next decade.
</p><p>The Sex Pistols have been recognised as an influential band. In 2004, <i>Rolling Stone</i> placed them No. 58 on its list of the ""100 Greatest Artists of All Time"". On 24 February 2006, the Sex Pistols—the four original members plus Vicious—were inducted into the Rock and Roll Hall of Fame; they refused to attend the ceremony, calling it ""a piss stain"".</p>


",
,,,,,
Shinedown,Jacksonville,2001–present,Shinedown,"<p class=""mw-empty-elt"">
</p>
<p><b>Shinedown</b> is an American rock band from Jacksonville, Florida, formed by singer Brent Smith in 2001 after the dissolution of Dreve, his previous band. Smith, still under contract with record label Atlantic Records, recruited the band's original lineup of Jasin Todd as guitarist, Brad Stewart on bass, and Barry Kerch on drums. Consistent for the first two album cycles, several lineup changes followed in the late 2000s, eventually stabilizing with Smith and Kerch alongside Zach Myers on guitar and Eric Bass on bass. The group has released seven studio albums: <i>Leave a Whisper</i> (2003), <i>Us and Them</i> (2005), <i>The Sound of Madness</i> (2008), <i>Amaryllis</i> (2012), <i>Threat to Survival</i> (2015), <i>Attention Attention</i> (2018), and <i>Planet Zero</i> (2022).
</p><p>Shinedown has the most number one singles on the <i>Billboard</i> Mainstream Rock charts with 18, and all of their released singles have reached the top 5 on the chart. Additionally, on June 3, 2021, Shinedown was ranked #1 by Billboard on the Greatest of All Time Mainstreams Rock Artists chart released to celebrate the Mainstream Rock Chart's 40th Anniversary. To date, the band has sold more than 10 million records worldwide.</p>


",
,,,,,
White Lies,Ealing,2007–present,White Lies (band),"<p class=""mw-empty-elt"">

</p>
<p><b>White Lies</b> are an English post-punk revival band from Ealing, London. Formerly known as <b>Fear of Flying</b>, the core band members are Harry McVeigh (lead vocals, guitar), Charles Cave (bass guitar and backing vocals), and Jack Lawrence-Brown (drums). The band performs live as a five-piece, when they are joined by Tommy Bowen and Rob Lee.</p><p>White Lies formed in October 2007, after writing songs that they felt didn't suit their original band. After delaying their first performance for five months to build up media hype, they earned a recording contract with Fiction Records days after their debut. The release of singles ""Unfinished Business"" and ""Death"" led to tours and festival appearances in the United Kingdom and North America, including a headline performance at BBC Radio 1's Big Weekend and a place on the 2009 <i>NME</i> Awards Tour. At the beginning of 2009, White Lies featured in multiple ""ones to watch"" polls for the coming year, including the BBC's <i>Sound of 2009</i> poll and the BRITs Critics' Choice Award.
</p><p>White Lies' debut album <i>To Lose My Life...</i>, released in January 2009, was a number one hit on the UK Albums Chart. Their second album <i>Ritual</i> was recorded in 2010, and released on 17 January 2011. <i>Big TV</i>, their third studio album was released on 12 August 2013, whilst their fourth, titled <i>Friends</i>, was released 7 October 2016. Their fifth album, <i>Five</i>, was released on 1 February 2019, and their latest, <i>As I Try Not to Fall Apart</i>, was released on 18 February 2022.
</p>",
,,,,,
Miike Snow,Stockholm,2007–present,Miike Snow,"<p class=""mw-empty-elt"">
</p>
<p><b>Miike Snow</b> (pronounced ""Mike Snow"") is a Swedish indie pop band formed in 2007. The band consists of producing team Bloodshy &amp; Avant and American singer Andrew Wyatt. The band is often represented by a silhouette image of a jackalope. In their career, the band has released three studio albums: <i>Miike Snow</i> (2009), <i>Happy to You</i> (2012), and <i>iii</i> (2016).
</p>",
,,,,,
INXS,Sydney,1977–2012 ,INXS,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>
<p><b>INXS</b> (a phonetic play on ""in excess"") were an Australian rock band, formed as <b>The Farriss Brothers</b> in 1977 in Sydney, New South Wales. The band's founding members were bassist Garry Gary Beers, main composer and keyboardist Andrew Farriss, drummer Jon Farriss, guitarist Tim Farriss, lead singer and main lyricist Michael Hutchence, and guitarist and saxophonist Kirk Pengilly. For 20 years, INXS was fronted by Hutchence, whose magnetic stage presence made him the focal point of the band. Initially known for their new wave/pop style, the band later developed a harder pub rock style that included funk and dance elements.</p><p>In 1984, INXS had their first number-one hit in Australia with ""Original Sin"". The band would later achieve international success in the mid-to-late 1980s and early 1990s with the hit albums <i>Listen Like Thieves</i>, <i>Kick</i>, and <i>X</i>, as well as the singles ""What You Need"", ""Need You Tonight"" (the band's only US number-one single), ""Devil Inside"", ""Never Tear Us Apart"", ""Suicide Blonde"" and ""New Sensation"".</p><p>After Hutchence's death on 22 November 1997, INXS made appearances with several guest singers, and toured and recorded with Jon Stevens as lead singer, beginning in 2000. In 2005, members of INXS participated in <i>Rock Star: INXS</i>, a reality television series that culminated in the selection of Canadian J.D. Fortune as their new lead singer. Irish singer-songwriter Ciaran Gribbin replaced Fortune as lead singer in 2011. During a concert on 11 November 2012, INXS stated that the performance would be their last, although they did not announce the band's permanent retirement.
</p><p>INXS won six Australian Recording Industry Association (ARIA) awards, including three for ""Best Group"" in 1987, 1989 and 1992; the band was inducted into the ARIA Hall of Fame in 2001. INXS has sold over 70 million albums worldwide, making them one of Australia's highest selling music acts of all time.</p>",
,,,,,
Cut Copy,Melbourne,2001–present,Cut Copy,"<p class=""mw-empty-elt"">

</p>
<p><b>Cut Copy</b> (sometimes stylised as <b>Cut/Copy</b>) is an Australian synth-pop band formed in 2001 by Dan Whitford (vocals, keyboards and guitar). Originally a home-recording project, the band now includes Tim Hoey (guitars), Ben Browning (bass guitar), and Mitchell Scott (drums).</p><p>The band achieved breakthrough success in 2008 with their second album, <i>In Ghost Colours</i>, which included well-known singles ""Lights &amp; Music"" and ""Hearts on Fire"".
</p>",
,,,,,
Edward Sharpe and the Magnetic Zeros,Los Angeles,2005–present,Edward Sharpe and the Magnetic Zeros,"<p class=""mw-empty-elt"">
</p>

<p><b>Edward Sharpe and the Magnetic Zeros</b> is an American folk rock band formed in Los Angeles, California, in 2005. The group is led by singer Alex Ebert. The band's name is based on a story Ebert wrote in his youth, about a messianic figure named Edward Sharpe.  Drawing from roots rock, folk, gospel, and psychedelic music, the band's image and sound evoke the hippie movement of the 1960s and 1970s. The group's first show was played July 18, 2007, at The Troubadour in West Hollywood, California. Their first studio album, <i>Up from Below</i>, was released on July 7, 2009, on Community Records and featured the popular single ""Home"". The group released their second full-length album, <i>Here</i>, on May 29, 2012, and third album, <i>Edward Sharpe and the Magnetic Zeros</i>, on July 23, 2013. Their fourth studio album, <i>PersonA</i>, was released in April 2016.
</p><p>Since its founding, the band has undergone several alterations. Most notably, singer Jade Castrinos left the band in 2014. The band's current members are Nicolo Aglietti, Mark Noseworthy, Orpheo McCord, Josh Collazo, Christian Letts, Seth Ford-Young, Mitchell Yoshida, Crash Richard, Stewart Cole, and Alex Ebert. The band also operates Big Sun, a non-profit focused on funding and developing co-ops and land trusts in urban areas around the world. Big Sun donated $100,000 to, ""Avalon Village,"" in Highland Park, Michigan in 2016.</p>",
,,,,,
Static-X,Los Angeles,,Static-X,"<p class=""mw-empty-elt"">
</p>
<p><b>Static-X</b> is an American heavy metal band from Los Angeles, California, formed in 1994. The line-up has fluctuated over the years, but was long-held constant with band founder, frontman, vocalist, and guitarist Wayne Static until his death in 2014.
</p><p>The band was founded by Wayne Static and original drummer Ken Jay. They rose to fame with their 1999 debut album <i>Wisconsin Death Trip</i> where their heavy industrial metal sound attracted attention within the burgeoning nu metal movement of the late 1990s, with the album eventually going platinum in the United States. The band released five more albums over the course of the next decade: <i>Machine</i> in 2001, <i>Shadow Zone</i> in 2003, <i>Start a War</i> in 2005, <i>Cannibal</i> in 2007, and <i>Cult of Static</i> in 2009.
</p><p>The band entered a hiatus while Static worked on his solo album, <i>Pighammer</i>, in 2011. Static briefly reformed Static-X in 2012, using only members of his solo album's touring band, before officially breaking up in June 2013. On November 1, 2014, Wayne Static died at the age of 48.
</p><p>The rest of the original Static-X lineup – bassist Tony Campos, guitarist Koichi Fukuda and drummer Ken Jay – announced on October 23, 2018, that they were reforming the band in Static's honor, and would release <i>Project: Regeneration Vol. 1</i>, their first studio album in eleven years, in 2020. The band announced a follow-up album, <i>Project: Regeneration Vol. 2</i>, on February 8, 2023.</p>",
,,,,,
Roxette,Halmstad,1986–2019,Roxette,"<p class=""mw-empty-elt"">
</p>
<p><b>Roxette</b> was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals and keyboards) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album <i>Look Sharp!</i> Their third album <i>Joyride,</i> released in 1991, became as successful as its predecessor. Roxette went on to achieve nineteen UK Top 40 hits, and several US Hot 100 hits, including four US number-ones with ""The Look"", ""Listen to Your Heart"", ""It Must Have Been Love"", featured on the soundtrack of <i>Pretty Woman</i>, and ""Joyride"". Their other hits include ""Dressed for Success"", ""Dangerous"", and ""Fading Like a Flower"".</p><p>Before coming together to form the duo, Fredriksson and Gessle were already established artists in Sweden. Fredriksson had released a number of solo albums and Gessle was the lead singer and songwriter of Gyllene Tider, a band which had three No. 1 albums. Acting on the advice of the managing director of their record label, the two joined to record ""Neverending Love"", which became a hit single in Sweden.
</p><p>After the release of <i>Don't Bore Us, Get to the Chorus!,</i> a greatest hits record, the duo took a hiatus before returning with the albums <i>Have a Nice Day</i> (1999) and <i>Room Service</i> (2001). They continued to chart in other territories, mainly in Europe, Australia and Latin America, where they earned various Gold and Platinum awards until the beginning of the new millennium. In 2002, the duo took a break from recording and touring when Fredriksson was diagnosed with a brain tumour. Gessle went on to release solo albums and reunited with Gyllene Tider before Roxette took to the stage together again for the first time in eight years, in 2009, during Gessle's European <i>Party Crasher</i> tour. In 2011, they released <i>Charm School</i>, their first studio album in ten years, which was followed by <i>Travelling</i> in 2012. Their final studio album, <i>Good Karma</i>, was released in 2016. Marie Fredriksson died on 9 December 2019, at the age of 61, following a long battle with a brain tumour.
</p><p>Their songs ""It Must Have Been Love"" and ""Listen to Your Heart"" continue to receive wide radio airplay, with both singles receiving awards from BMI in 2014 for achieving five million radio plays. They have sold an estimated 75 million records worldwide, with over 10 million in certified units from Germany, the US and the UK, achieving gold and platinum certifications for <i>Joyride</i> and <i>Look Sharp!</i> in all three regions. They are Sweden's second-best-selling music act after ABBA.</p>


",
,,,,,
Pulp,Sheffield,,Pulp (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Pulp</b> are an English rock band formed in Sheffield in 1978. Their best-known line-up from their heyday (1992–1997) consisted of Jarvis Cocker (vocals, guitar, keyboards), Russell Senior (guitar, violin), Candida Doyle (keyboards), Nick Banks (drums, percussion), Steve Mackey (bass) and Mark Webber (guitar, keyboards).
</p><p>Throughout the 1980s the band struggled to find success, but gained prominence in the UK in the mid-1990s with the release of the albums <i>His 'n' Hers</i> in 1994 and particularly <i>Different Class</i> in 1995, which reached the number one spot in the UK Albums Chart. The album spawned four top ten singles, including ""Common People"" and ""Sorted for E's &amp; Wizz"", both of which reached number two in the UK Singles Chart. Pulp's musical style during this period consisted of disco-influenced pop-rock coupled with references to British culture in their lyrics in the form of a ""kitchen sink drama""-style. Cocker and the band became reluctant figureheads of the Britpop movement, and were nominated for the Mercury Music Prize in 1994 for <i>His 'n' Hers</i>; they won the prize in 1996 for <i>Different Class</i> and were nominated again in 1998 for <i>This Is Hardcore</i>. Pulp headlined the Pyramid Stage of the Glastonbury Festival twice and were regarded among the Britpop ""big four"", along with Oasis, Blur and Suede.</p><p>The band released <i>We Love Life</i> in 2001 and then took a decade-long break, having sold more than 10 million records. Pulp reunited and played live again in 2011, with dates at the Isle of Wight Festival, Reading and Leeds Festivals, Pohoda, Sziget Festival, Primavera Sound, the Exit festival, and the Wireless Festival. A number of additional concert dates were afterward added to their schedule. In January 2013, Pulp released ""After You"", a song originally demoed for <i>We Love Life</i>, as a digital download single. It was the band's first single release since ""Bad Cover Version"" in 2002. On 9 March 2014, Pulp and filmmaker Florian Habicht premiered the feature documentary <i>Pulp: A Film about Life, Death &amp; Supermarkets</i> at SXSW Music and Film Festival in Austin, Texas. The film toured the international film festival circuit and was released theatrically by  Oscilloscope Laboratories in the US in November 2014. It is the first film about Pulp (and Sheffield) that has been made in collaboration with the band. The band once again went on hiatus following this, but in 2022, Cocker announced that the band would be reuniting for a second time to play a series of shows in 2023.</p>


",
,,,,,
