Artist,Type,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
Martin Garrix,artist,Martijn Gerard Garritsen,1996|5|14,Amstelveen,2012–present,,Martin Garrix,"<p class=""mw-empty-elt"">

</p>
<p><b>Martijn Gerard Garritsen</b> (<small>Dutch: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""nl-Latn-fonipa"">[mɑrˈtɛin ɣəˈrɑrt ˈxɑrɪtsə(n)]</span>; born 14 May 1996), known professionally as <b>Martin Garrix</b> and also as Ytram and GRX, is a Dutch DJ and record producer who was ranked number one on <i>DJ Mag</i><span>'</span>s Top 100 DJs list for three consecutive years—2016, 2017, and 2018. He is best known for his singles ""Animals"", ""In the Name of Love"", and ""Scared to Be Lonely"".
</p><p>Garrix has performed at music festivals such as Coachella, Electric Daisy Carnival, Ultra Music Festival, Tomorrowland, and Creamfields. In 2014, he headlined the first edition of Ultra South Africa, making this his first major festival. In the same year, he became the youngest DJ to headline 2014 Ultra Music Festival at the age of 17. He was a resident DJ at Spain's Hï Ibiza (2017) and Ushuaïa Ibiza (2016 and 2018). He founded the label Stmpd Rcrds in 2016, months after leaving Spinnin' Records and before signing with Sony Music.
</p>

"
Jackson Browne,artist,Clyde Jackson Browne,1948|10|9,Heidelberg,1966–present,"*Vocals
*guitar
*piano",Jackson Browne,"<p class=""mw-empty-elt"">
</p>

<p><b>Clyde Jackson Browne</b> (born October 9, 1948) is an American musician, singer, songwriter, and political activist who has sold over 18 million records in the United States.</p><p>Emerging as a precocious teenage songwriter in mid-1960s Los Angeles, he experienced his first successes writing songs for others, writing ""These Days"" as a 16-year-old; the song became a minor hit for the German singer and Andy Warhol protégé Nico in 1967. He also wrote several songs for fellow Southern California bands the Nitty Gritty Dirt Band, which he was briefly a member in 1966, and the Eagles, the latter of whom had their first US <i>Billboard</i> Top 40 hit in 1972 with the Browne co-written song ""Take It Easy"".
</p><p>Encouraged by his successes writing songs for others, Browne released his self-titled debut album in 1972, which spawned two Top 40 hits of his own, ""Doctor, My Eyes"" and ""Rock Me on the Water"". For his debut album, as well as for the next several albums and concert tours, Browne started working closely with the Section, a prolific session band that also worked with a variety of other prominent singer-songwriters at the time. His second album, <i>For Everyman</i>, was released in 1973, and while it lacked an enduring single, has been retrospectively assessed as some of his best work, appearing highly on several ""Best Album of All Time"" lists. His third album, <i>Late for the Sky</i>, was his most successful to that point, peaking at number 14 on the US <i>Billboard</i> 200 album chart. His fourth album, <i>The Pretender</i>, continued the pattern of each album topping the previous by peaking at number 5 on the album chart, and spawned the hit singles ""Here Come Those Tears Again"" and ""The Pretender"".
</p><p>It would be the 1977 album <i>Running on Empty</i>, however, that would become his signature work, peaking at number 3 on the album chart, and remaining there for over a year. Both a live album and a concept album, the songs on the album explore the themes of life as a touring musician, and the album was recorded both on stage, and in places touring musicians spend time when not playing, such as hotel rooms, backstage, and in one case on a moving tour bus. The album produced two Top 40 singles, ""Running on Empty"" and ""The Load-Out/Stay"", and many of the other tracks became popular radio hits on the AOR format.
</p><p>Successful albums continued through the 1980s, including the 1980 album <i>Hold Out</i>, his only number 1 album, the non-album single ""Somebody's Baby"", which was used in the film <i>Fast Times at Ridgemont High</i>, and 1983's <i>Lawyers in Love</i>, which included the hit single ""Tender Is the Night"". In 1986, he released <i>Lives in the Balance</i>, which had several radio hits and included the introspective ""In the Shape of a Heart"", which was inspired by the suicide of his first wife a decade prior. His string of hit albums came to an end at that point, as his next several albums failed to produce a gold or platinum RIAA rating.
</p><p>He released two compilation albums, <i>The Next Voice You Hear: The Best of Jackson Browne</i> in 1997, and <i>The Very Best of Jackson Browne</i>, released in conjunction with his Rock and Roll Hall of Fame induction in 2004. His most recent studio album is 2021's <i>Downhill from Everywhere</i>, the follow-up to 2014's <i>Standing in the Breach</i>, which included the first fully realized version of his song ""The Birds of St. Marks"", a song he had written at age 18. In 2015, <i>Rolling Stone</i> ranked him as 37th in its list of the ""100 Greatest Songwriters of All Time"".</p>"
Haddaway,artist,Nestor Alexander Haddaway,1965|1|9,Port of Spain,1987–present,Vocals,Haddaway,"<p class=""mw-empty-elt"">
</p>
<p><b>Nestor Alexander Haddaway</b> (born 9 January 1965) is a Trinidadian-born German singer best known for his 1993 hit single ""What Is Love"", which reached number 1 in 13 countries.</p>

"
Iggy Azalea,artist,Amethyst Amelia Kelly,1990|6|7,Sydney,2011–present,,Iggy Azalea,"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">

</p>
<p><b>Amethyst Amelia Kelly</b> (born 7 June 1990), known professionally as <b>Iggy Azalea</b> (<span></span>), is an Australian rapper, songwriter, and model. At the age of 16, Azalea moved from Australia to the United States in order to pursue a career in music. Azalea earned public recognition after releasing the music videos for her songs ""Pussy"" and ""Two Times"" on YouTube, both of which gained rapid popularity. Azalea shortly after released her debut mixtape, <i>Ignorant Art</i> (2011), and subsequently signed a recording contract with American rapper T.I.'s Grand Hustle label.
</p><p>Azalea's debut studio album, <i>The New Classic</i> (2014), peaked among the top five on several charts worldwide, but received mixed reviews from within the industry. The album eventually topped the <i>Billboard</i> Top R&amp;B/Hip-Hop Albums, making Azalea the first non-American female rapper to reach the top of the chart. <i>The New Classic</i> was preceded by Azalea's debut single ""Work"" and chart-topping single ""Fancy"" (featuring Charli XCX), which hit the U.S. <i>Billboard</i> Hot 100. Azalea was featured on Ariana Grande's 2014 single ""Problem"", which peaked at number two behind ""Fancy"". With these hits, Azalea became the second musical act (behind The Beatles) act to rank at number one and two simultaneously on the Hot 100 with their debut appearances on the chart. In addition, she achieved three top ten hits simultaneously on the Hot 100 with the aforementioned songs and the album's fifth single, ""Black Widow"" (featuring Rita Ora), which debuted later that year.</p><p>After her debut album, Azalea released a slew of singles to build anticipation for her intended second album, <i>Digital Distortion.</i> However, a series of conflicts with her label, as well as personal conflicts, resulted in the project being cancelled. Consequently, Azalea switched labels, releasing the EP <i>Survive the Summer</i> (2018) under Island Records. Further disagreements led to Azalea becoming an independent artist and creating her own label, Bad Dreams, through a distribution deal with Empire. Her second album, <i>In My Defense</i>, was released in 2019, followed by another EP, <i>Wicked Lips</i>, that same year, and a third studio album, <i>The End of an Era</i>, in 2021.
</p><p>Azalea's accolades include two American Music Awards, three Billboard Music Awards, an MTV Video Music Award, a People's Choice Award, four Teen Choice Awards and four Grammy Award nominations. Azalea's official YouTube channel has accumulated 3.4 billion views, with 15 music videos receiving over 100 million views on Vevo.
</p>"
Paul van Dyk,artist,,1971|12|16,Eisenhüttenstadt,1990–present,,Paul van Dyk,"<p class=""mw-empty-elt"">
</p>
<p><b>Matthias Paul</b> (<small>German pronunciation: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""de-Latn-fonipa"">[maˈtiːas ˈpaʊ̯l]</span>; born 16 December 1971), known professionally as <b>Paul van Dyk</b> (<small>German: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""de-Latn-fonipa"">[ˈpaʊ̯l fan ˈdʏk]</span>) is a German DJ, record producer and musician. One of the first true renowned DJs, van Dyk was the first artist to receive a Grammy Award nomination in the newly added category of Best Dance/Electronic album for his 2003 release <i>Reflections</i>. He was named the World's number one DJ in both 2005 and 2006, something few DJs have ever achieved. He was the first ever DJ to be named number one by <i>Mixmag</i> in 2005. By 2008, he had sold over 3 million albums worldwide.</p><p>A trance producer starting in the early 1990s, van Dyk quickly achieved popularity with his remix of ""Love Stimulation"" by Humate on the record label MFS in 1993 and with his hit single ""For an Angel"". Van Dyk is an avid trance lover to this day. He indicated in an interview that he ended up giving himself the Belgian-sounding stage name Paul van Dyk, because he used to incorporate many Belgian dance records into his DJ sets in the early 1990s.</p><p>Van Dyk is currently the radio host of ""Vonyc Sessions with Paul"" on Dash Radio.
</p>

"
Darude,artist,Toni-Ville Henrik Virtanen,1975|07|17,Eura,1997–present,,Darude,"<p class=""mw-empty-elt"">
</p>

<p><b>Toni-Ville Henrik Virtanen</b> (<small>Finnish: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""fi-Latn-fonipa"">[ˈtoniˌʋilːe ˈhenrik ˈʋirtɑnen]</span>; born July 17, 1975), better known by his stage name <b>Darude</b> (<span></span>), is a Finnish DJ and record producer from Eura, Satakunta. His music is characterised by its progressive/uplifting style. He started making music in 1995 and released the platinum-selling hit single ""Sandstorm"" in late 1999. His debut studio album, <i>Before the Storm</i>, was released on September 18, 2000 and sold 800,000 copies worldwide, earning Darude three Finnish Grammy Awards. It peaked at number one on Finland's Official List and number 6 on the <i>Billboard</i> Dance/Electronic Albums chart in the United States. Darude's second studio album, <i>Rush</i>, reached number 11 on the <i>Billboard</i> dance chart in 2003 and number 4 on weekly album chart in Finland.</p><p>His third studio album, <i>Label This!</i> was released in 2007. Though it did not chart as high as his previous albums, <i>Gawker</i> praised the album's single ""In the Darkness"" as ""a floating, gossamer piece of trance music... it's tightly composed, easy to dance to, and has a soaring, undeniable hook."" In 2011, he co-founded the record label <b>EnMass Music</b>, through which he has released a number of mix compilations related to his radio show <i>Salmiakki Sessions.</i> After performing at festivals such as the tenth anniversary of Tomorrowland in 2014 and Future Music Festival in 2015, he released his most recent studio album, <i>Moments</i>, on August 14, 2015, followed by a tour of the United States and Canada in September 2015. He represented Finland in the Eurovision Song Contest 2019, alongside singer Sebastian Rejman, with the song ""Look Away"".
</p>"
Mat Kearney,artist,,1978|12|1,Nashville,2003–present,"Vocals, guitar, piano",Mat Kearney,"<p class=""mw-empty-elt"">
</p>
<p><b>Mathew William Kearney</b> (<span></span>; born December 1, 1978) is an American musician born in Eugene, Oregon, and based in Nashville, Tennessee. So far, he has a total of five top 20 hits on the Adult Top 40 Chart.
</p><p><i>Just Kids</i> was released on February 24, 2015. The album's first single, ""Heartbeat"", was released on November 4, 2014. <i>Crazytalk</i> was released on May 4, 2018.
</p>

"
Sophie Ellis‐Bextor,artist,Sophie Michelle Ellis-Bextor,1979|04|10,Hounslow,1997–present,,Sophie Ellis-Bextor,"<p class=""mw-empty-elt"">

</p>
<p><b>Sophie Michelle Ellis-Bextor</b> (born 10 April 1979) is an English singer and songwriter. She first came to prominence in the late 1990s as the lead singer of the indie rock band Theaudience. After the group disbanded Ellis-Bextor went solo and achieved success beginning in the early 2000s. Her music is a mixture of mainstream pop, disco, nu-disco, and 1980s electronic influences.
</p><p>Ellis-Bextor's debut solo album, <i>Read My Lips</i>, was released in 2001. It peaked at number two on the UK Albums Chart and was certified double platinum by the British Phonographic Industry; it sold 1.5 million copies worldwide. Three of its four singles—the Cher cover ""Take Me Home"", ""Murder on the Dancefloor"", and the double A-side ""Get Over You"" / ""Move This Mountain""—reached the top three in the UK. In 2003, <i>Read My Lips</i> won the Edison Award for Best Dance Album. Its follow-up <i>Shoot from the Hip</i> (2003) reached number 19 in the UK and spawned two top ten singles, ""Mixed Up World"" and ""I Won't Change You"".</p><p>Ellis-Bextor's third studio album, <i>Trip the Light Fantastic</i> (2007), peaked at number seven in the UK and its lead single ""Catch You"" reached the top ten. Her fourth studio album, <i>Make a Scene</i> (2011), and its third single ""Bittersweet"" achieved top 40 positions in the UK. Her fifth studio album, <i>Wanderlust</i> (2014), peaked at number four becoming her highest-charting album since <i>Read My Lips</i>. She released a Latin-inspired sixth studio album, <i>Familia</i>, in 2016 to critical acclaim.
</p>"
Badly Drawn Boy,artist,Damon Michael Gough,1969|10|2,Dunstable,1995–present,"Guitar, vocals, bass, drums, percussion, [[banjo]], piano, keyboards, harmonica",Badly Drawn Boy,"<p class=""mw-empty-elt"">
</p>

<p><b>Damon Michael Gough</b> (born 2 October 1969), known by the stage name <b>Badly Drawn Boy</b>, is an English indie singer-songwriter and multi-instrumentalist.
</p><p>Gough chose his stage name from a character in the show <i>Sam and his Magic Ball</i>, which he saw on TV at a party in Trafford, Greater Manchester, in 1995. Before he thought of using this name he made some business cards, each one unique, with a printed picture of a drawing by his nephew and a small collage by Gough.
</p><p>A chance meeting with Andy Votel at the Generation X bar in Manchester, where Gough's friends Scott Abraham and Damon Hayhurst were contributing to an exhibition by the Space Monkey Clothing Company and Votel was DJing, led to the foundation of Twisted Nerve Records.
</p><p>In 2002, <i>Q</i> magazine named Badly Drawn Boy in their list of the ""50 Bands to See Before You Die"", although this was as part of a sub-list of ""5 Bands That Could Go Either Way"" on account of Gough's tendency to talk and tell stories for extended periods in concert rather than play songs.
</p>"
Ladyhawke,artist,Phillipa Margaret Brown,1979|7|13,Masterton,2001–present,Vocals|bass guitar|guitar|drums|keyboards|synthesiser,Ladyhawke (musician),"<p class=""mw-empty-elt"">

</p>

<p><b>Phillipa Margaret</b> ""<b>Pip</b>"" <b>Brown</b> (born 13 July 1979), better known by her stage name <b>Ladyhawke</b>, is a New Zealand singer-songwriter and multi-instrumentalist. She took her stage name from Richard Donner's 1985 film <i>Ladyhawke</i>.
</p><p>Brown was part of the Wellington-based band Two Lane Blacktop (2001–2003), before moving to Australia where, in 2004, she formed the art rock band Teenager with Nick Littlemore of Pnau. In 2007 she moved to London, afterwards relocating to Los Angeles around 2013, and then subsequently relocating back to her native New Zealand after the release of her third album, Wild Things.</p><p>Brown's debut solo album, <i>Ladyhawke</i>, was released on 22 September 2008 through Modular Recordings, and topped the RIANZ Albums Chart. It spawned five singles of which ""My Delirium"" was the most successful. At the ARIA Music Awards of 2009, Ladyhawke won Breakthrough Artist in both album and single categories.
</p><p>Brown's second solo album, <i>Anxiety</i>, was released in May 2012, and her third solo album, <i>Wild Things</i>, was released on 3 June 2016. Her fourth album, <i>Time Flies</i>, was released on 19 November 2021.
</p>"
Flume,artist,Harley Edward Streten,1991|11|5,Sydney,2010–present,,Flume (musician),"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">

</p>

<p><b>Harley Edward Streten</b> (born 5 November 1991), known professionally as <b>Flume</b>, is an Australian DJ and music producer. He is regarded as a pioneer of future bass who helped popularise the genre. His self-titled debut studio album, <i>Flume</i>, was released in 2012 to positive reviews, topping the ARIA Albums Chart and reaching double-platinum accreditation in Australia.
</p><p>Flume has remixed songs from such artists as Lorde, Sam Smith, Arcade Fire, Hermitude and Disclosure. His second studio album, <i>Skin</i>, was released in 2016, again topping the ARIA Albums Chart. The album won the Best Dance/Electronic Album at the 2017 Grammy Awards. The album gained international recognition from the album's first single, ""Never Be like You"", which was nominated for Best Dance Recording. After the release of <i>Skin</i>, Flume released <i>Skin Companion EP 1</i> in November 2016 and <i>Skin Companion EP 2</i> in February 2017 as the album's B-side EPs. In 2019, he released a mixtape, <i>Hi This Is Flume</i>, to positive reviews. His third studio album, <i>Palaces</i>, was released in May 2022. In 2023, he released his second mixtape, <i>Things Don’t Always Go the Way You Plan</i>.
</p>"
Jason Aldean,artist,Jason Aldine Williams,1977|2|28,Macon,1998–present,Vocals|guitar|piano,Jason Aldean,"<p class=""mw-empty-elt"">
</p>

<p><b>Jason Aldean</b> (born <b>Jason Aldine Williams</b>; February 28, 1977) is an American country music singer. Since 2005, he has been signed to Broken Bow Records, a record label for which he has released ten albums and 40 singles. His 2010 album, <i>My Kinda Party</i>, is certified quadruple-platinum by the Recording Industry Association of America (RIAA). His 2012 album <i>Night Train</i> is certified double-platinum, while his 2005 self-titled debut, 2007 album <i>Relentless</i>, 2009 album <i>Wide Open</i>, 2014 album <i>Old Boots, New Dirt</i> are all certified platinum. Aldean has received five Grammy Award nominations throughout his career, twice for Best Country Album.
</p><p>27 of his 38 singles have reached #1 on either the Hot Country Songs or Country Airplay charts with ""Why"", ""She's Country"", ""Big Green Tractor"", ""The Truth"", ""Don't You Wanna Stay"" (a duet with Kelly Clarkson), ""Dirt Road Anthem"", ""Fly Over States"", ""Take a Little Ride"", ""The Only Way I Know"" (a collaboration with Luke Bryan and Eric Church), ""Night Train"", ""When She Says Baby"", ""Burnin' It Down"", ""Just Gettin' Started"", ""Tonight Looks Good on You"", ""Lights Come On"", ""A Little More Summertime"", ""Any Ol' Barstool"", ""You Make It Easy"", ""Drowns the Whiskey"" (a duet with Miranda Lambert), ""Girl Like You"", ""Rearview Town"", ""Got What I Got"", ""Blame It on You"", ""If I Didn't Love You"" (a duet with Carrie Underwood), and ""Trouble with a Heartbreak"".
</p>"
Ace Hood,artist,,1988|5|11,Port St. Lucie,2006-present,,Ace Hood,"<p class=""mw-empty-elt"">
</p>
<p><b>Antoine Franklin McColister</b> (born May 11, 1988), better known by his stage name <b>Ace Hood</b>, is an American rapper. He was born in Port St. Lucie, Florida and raised in Deerfield Beach, Florida. He was signed to record producer DJ Khaled's label We the Best Music Group in 2008, in a joint-venture with Def Jam Recordings.</p><p>He has released four studio albums with his most successful of which being <i>Blood, Sweat &amp; Tears</i> (2011) and <i>Trials &amp; Tribulations</i> (2013). The albums contained his highest-charting singles, ""Hustle Hard"" and ""Bugatti"" (featuring Future and Rick Ross), respectively. In 2016, McColister announced his departure from We the Best Music and is currently working as an independent artist.</p>

"
Franz Liszt,artist,,1811|10|22,Raiding,,,Franz Liszt,"<p class=""mw-empty-elt"">
</p>
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p><b>Franz Liszt</b> (22 October 1811 – 31 July 1886) was a Hungarian composer, pianist and teacher of the Romantic period. With a diverse body of work spanning more than six decades, he is considered to be one of the most prolific and influential composers of his era and remains one of the most popular composers in modern concert piano repertoire.</p><p>Liszt first gained renown during the early nineteenth century for his virtuoso skill as a pianist. Regarded as one of the greatest pianists of all time, he toured Europe during the 1830s and 1840s, often playing for charity. In these years, Liszt developed a reputation for his powerful performances as well as his physical attractiveness. In what has now been dubbed ""Lisztomania"", he rose to a degree of stardom and popularity among the public not experienced by the virtuosos who preceded him. Whereas earlier performers mostly served the upper class, Liszt attracted a more general audience. During this period and into his later life, Liszt was a friend, musical promoter and benefactor to many composers of his time, including Frédéric Chopin, Charles-Valentin Alkan, Richard Wagner, Hector Berlioz, Robert Schumann, Clara Schumann, Camille Saint-Saëns, Edvard Grieg, Ole Bull, Joachim Raff, Mikhail Glinka, and Alexander Borodin.</p><p>Liszt was one of the most prominent representatives of the New German School (German: <i lang=""de"">Neudeutsche Schule</i>). He left behind an extensive and diverse body of work that influenced his forward-looking contemporaries and anticipated 20th-century ideas and trends. Among Liszt's musical contributions were the symphonic poem, developing thematic transformation as part of his experiments in musical form, and radical innovations in harmony. Liszt has also been regarded as a forefather of Impressionism in music, with his <i>Années de pèlerinage</i>, often regarded as his masterwork, featuring many impressionistic qualities. In a radical departure from his earlier compositional styles, many of Liszt's later works also feature experiments in atonality, foreshadowing the serialist movement of the 20th century.
</p>"
Kygo,artist,Kyrre Gørvell-Dahll,1991|9|11,Singapore,2010–present,,Kygo,"<p class=""mw-empty-elt"">

</p>

<p><b>Kyrre Gørvell-Dahll</b> (born 11 September 1991), known professionally as <b>Kygo</b> (<small>Norwegian: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""no-Latn-fonipa"">[ˈkỳːɡuː]</span>), is a Norwegian DJ and music producer. He garnered international attention with his December 2013 remix of the track ""I See Fire"" by Ed Sheeran and his December 2014 single ""Firestone"" (featuring Conrad Sewell). In late 2015, he became the fastest artist to reach 1 billion streams on Spotify, and by June 2016, he had reached 2 billion streams on Spotify.</p><p>Kygo has since released several singles, such as ""Stole the Show"", ""Here for You"", and ""Stay"" in 2015, ""It Ain't Me"" collaborating with Selena Gomez in 2017 and a 2019 remix of ""Higher Love"" performed by Whitney Houston, all of which have debuted on several international charts. His debut album, <i>Cloud Nine</i>, was released on 13 May 2016.</p><p>Kygo became the first house music producer to perform at an Olympics closing ceremony in August 2016 at the 2016 Rio Olympics. In March 2018, <i>Billboard</i> ranked Kygo 3rd on its 2018 ranking of dance musicians titled <i>Billboard</i> Dance 100. The same year, he was ranked 32 on <i>DJ Mag</i><span>'</span>s top 100 DJs of the world, and in October 2019 he was ranked 42.
</p><p>Kygo's stage name is derived from the first two letters of his first and last names, generated during his use of Itslearning.</p>"
Asher Roth,artist,Asher Paul Roth,1985|08|11,Morrisville,2005–present,,Asher Roth,"<p class=""mw-empty-elt"">
</p>

<p><b>Asher Paul Roth</b> (born August 11, 1985) is an American rapper. He is best known for his debut single ""I Love College"". Roth released his debut studio album <i>Asleep in the Bread Aisle</i>, on April 20, 2009, by Universal Motown, SRC, and School Boy Records; the latter of which was launched by Roth's former manager Scooter Braun. Roth later left Schoolboy Records in late 2012, due to creative differences with Braun. In 2013, Roth signed with indie record label Federal Prism, on which he released his second studio album, <i>RetroHash</i>.
</p>"
Iyaz,artist,Keidran Jones,1987|04|15,Tortola,2009–present,[[Singing|Vocals]],Iyaz,"<p class=""mw-empty-elt"">

</p>
<p><b>Keidran Jones</b> (born 15 April 1987), better known by his stage name <b>Iyaz</b>, is a British Virgin Islands singer and songwriter, formerly signed with the record label Beluga Heights Records. He is known for his singles ""Replay"", ""Solo"" and ""Pretty Girls"". He released his debut album <i>Replay</i> in 2010.
</p>

"
Thomas Newman,artist,Thomas Montgomery Newman,1955|10|20,Los Angeles,1979–present ,"[[Piano]], [[violin]]",Thomas Newman,"<p class=""mw-empty-elt"">
</p>

<p><b>Thomas Montgomery Newman</b> (born October 20, 1955) is an American composer and conductor best known for his many film scores. In a career that has spanned over four decades, he has scored numerous films including <i>The Player</i> (1992); <i>The Shawshank Redemption</i> (1994); <i>American Beauty</i> and <i>The Green Mile</i> (both 1999); <i>In the Bedroom</i> (2001); <i>Finding Nemo</i> (2003); <i>Lemony Snicket's A Series of Unfortunate Events</i> (2004); <i>Cinderella Man</i> (2005); <i>WALL-E</i> (2008); the <i>James Bond</i> films <i>Skyfall</i> (2012) and <i>Spectre</i> (2015); <i>Finding Dory</i> (2016); and <i>1917</i> (2019). He also composed the music for the 2003 HBO miniseries <i>Angels in America</i>. Throughout his career, he has collaborated extensively with directors such as Sam Mendes, Frank Darabont, Steven Soderbergh, John Madden and John Lee Hancock.
</p><p>Newman has been nominated for fifteen Academy Awards, tying him with fellow composer Alex North for the most nominations without a win. He has also been nominated for four Golden Globes, and has won two BAFTAs, six Grammys and an Emmy Award. Newman was honored with the Richard Kirk award at the 2000 BMI Film and TV Awards. The award is given annually to a composer who has made significant contributions to film and television music. His achievements have contributed to the Newmans being the most nominated Academy Award extended family, with a collective 92 nominations in various music categories.
</p>"
The‐Dream,artist,Terius Youngdell Nash,1977|09|20,Rockingham,1995–present,,The-Dream,"<p class=""mw-empty-elt"">
</p>
<p><b>Terius Youngdell Nash</b> (born September 20, 1977), better known by his stage name <b>The-Dream</b>, is an American singer, songwriter, and record producer. His co-writing credits include songs with ""Me Against the Music"" (2003) for Britney Spears, ""Ride"" (2010) for Ciara, ""Umbrella"" (2007) for Rihanna, ""Single Ladies (Put a Ring on It)"" (2008) and ""Partition"" (2013) for Beyoncé, ""Touch My Body"" (2008)  for Mariah Carey, ""16 @ War"" for Karina Pasian (2008), ""Baby"" (2010) for Justin Bieber, ""All of the Lights""(2010) for Kanye West, and ""No Church in the Wild"" (2013) for Jay-Z and Kanye West. As a solo recording artist, he released five studio albums between 2007 and 2013: <i>Love/Hate</i> (2007), <i>Love vs. Money</i> (2009), <i>Love King</i> (2010), <i>1977</i> (2011) and <i>IV Play</i> (2013). His most recent album releases were the 2018 triple album <i>Ménage à Trois: Sextape Vol. 1, 2, 3</i> and the 2020 album <i>Sextape 4</i>.
</p><p>He was nominated for the first ever Grammy Award for Songwriter of the Year at the 65th Annual Grammy Awards for his work on releases by Beyoncé, Brent Faiyaz and Pusha T.</p>"
Anastacia,artist,Anastacia Lyn Newkirk,1968|9|17,Chicago,1983–present,,Anastacia,"<p class=""mw-empty-elt"">
</p>
<p><b>Anastacia Lyn Newkirk</b> (<span></span> <i title=""English pronunciation respelling""><span>AN</span>-ə-<span>STAY</span>-zhə</i>; born September 17, 1968) is an American singer, songwriter and former dancer. Her first two albums <i>Not That Kind</i> (2000) and <i>Freak of Nature</i> (2001) were released in quick succession to major success. Spurred on by the multi-platinum, global smash ""I'm Outta Love"", Anastacia was awarded as the 'World's Best-Selling New Female Pop Artist' in 2001. Her commercial success continued with international hits such as ""Paid My Dues"", ""One Day In Your Life"" and the official song of the 2002 FIFA World Cup, ""Boom"". After recovering from cancer, she returned with 2004's <i>Anastacia</i> which deviated from previous albums into pop-rock. Peaking at number one in 11 countries, it became Europe's second-biggest-selling album of the year. Its lead single ""Left Outside Alone"" remained at number one on the European <i>Billboard</i> chart for 15 weeks and helped Anastacia launch the most successful European tour by a solo artist that same year. The album also provided another three singles: ""Sick and Tired"", ""Welcome to My Truth"", and ""Heavy on My Heart"".
</p><p>In 2005, the multi-platinum compilation project <i>Pieces of a Dream</i> was released, which spawned the chart-topping duet with Eros Ramazzotti, ""I Belong to You (Il Ritmo della Passione)"". Her fourth studio album <i>Heavy Rotation</i> (2008) produced the songs ""Absolutely Positively"", ""Defeated"", and ""I Can Feel You"". Her cover album <i>It's a Man's World</i> (2012) was followed by a sixth studio album <i>Resurrection</i> (2014), which reached the top ten of several European charts. Her <i>Ultimate Collection</i> was released in 2015 and peaked in the top ten of the UK charts, giving the singer her sixth top-ten album in Britain. In 2017, Anastacia released the studio album <i>Evolution</i> and its lead single ""Caught in the Middle"". Anastacia has established herself as one of the best-selling international female singers of the 2000s and 2010s. As of 2016, she has reported worldwide sales of more than 50 million. She has had five top ten singles on U.S. <i>Billboard</i>'s Dance Club chart and three albums on its Top Album Sales chart.</p><p>Known for her powerful mezzo-soprano voice and her small stature of 5 feet 2 inches (157 cm), she has been dubbed ""the little lady with the big voice"". She underwent corrective LASIK surgery in August 2005, although she still frequently wears the glasses for which she became noted when she first became famous.
</p><p>During her life Anastacia has battled many health problems. She was diagnosed with Crohn's disease when she was 13, breast cancer at the age of 34, and supraventricular tachycardia aged 39. In 2013, Anastacia was diagnosed with breast cancer for a second time. In recognition of her decade-long charitable efforts in breast cancer awareness, Anastacia became the second woman ever to be presented with the Humanitarian Award at the <i>GQ</i> Men of the Year Awards in 2013.
</p>

"
Tech N9ne,artist,Aaron Dontez Yates,1971|11|8,Kansas City,1991–present,,Tech N9ne,"<p class=""mw-empty-elt"">

</p>

<p><b>Aaron Dontez Yates</b> (born November 8, 1971), better known by his stage name <b>Tech N9ne</b> (pronounced ""tech nine""), is an American rapper. In 1999, he and business partner Travis O'Guin founded the record label Strange Music. He has sold over two million albums and has had his music featured in film, television, and video games. In 2009, he won the Left Field Woodie award at the mtvU Woodie Awards.</p><p>His stage name originated from the TEC-9 semi-automatic handgun, a name given to him by rapper Black Walt due to his fast-rhyming chopper style. Yates later applied a deeper meaning to the name, stating that it stands for the complete technique of rhyme, with ""tech"" meaning technique and ""nine"" representing the number of completion. Despite minimal mainstream success himself, he has featured many mainstream artists on his albums including E-40, Ice Cube, Three 6 Mafia, B.o.B., Twista, Busta Rhymes, Kendrick Lamar, Lil Wayne, T-Pain, Snoop Dogg, The Game, Wiz Khalifa, CeeLo Green, T.I., 2 Chainz, Corey Taylor of Slipknot, Eminem, Logic, and Boyz II Men.
</p>"
