Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
,,,,,,,
Marilyn Manson,Brian Hugh Warner,1969|1|5,Canton,1989–present,,Marilyn Manson,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>
<p><b>Brian Hugh Warner</b> (born January 5, 1969), known professionally as <b>Marilyn Manson</b>, is an American rock musician. He came to prominence as the lead singer of the band that shares his name, of which he remains the only constant member since its formation in 1989. Known for his controversial stage personality and public image, his stage name (like the other founding members of the band) was formed by combining the names of two opposing American cultural icons: actress Marilyn Monroe and cult leader Charles Manson.
</p><p>Manson is best known for music released in the 1990s, including the albums <i>Portrait of an American Family</i> (1994), <i>Antichrist Superstar</i> (1996) and <i>Mechanical Animals</i> (1998), which earned him a reputation in mainstream media as a controversial figure and negative influence on young people when combined with his public image. In the U.S. alone, three of the band's albums have been awarded platinum status and three more went gold, and the band has had eight releases debut in the top 10, including two No. 1 albums. Manson has been ranked at No. 44 on the list of the ""Top 100 Heavy Metal Vocalists"" by <i>Hit Parader</i> and, along with his band, has been nominated for four Grammy Awards–Manson himself earned an additional Grammy nomination for his work on Kanye West's <i>Donda</i>. Manson made his film debut as an actor in David Lynch's <i>Lost Highway</i> (1997), and has since appeared in a variety of minor roles and cameos. In 2002, his first art show, <i>The Golden Age of Grotesque</i>, was held at the Los Angeles Contemporary Exhibitions center.
</p><p>He is widely considered one of the most controversial figures in heavy metal music, and has been involved in numerous controversies throughout his career. His lyrics were criticized by American politicians and were examined in congressional hearings. Several U.S. states enacted legislation specifically banning the group from performing in state-operated venues. In 1999, news media falsely blamed Manson for influencing the perpetrators of the Columbine High School massacre. His work has been cited in several other violent events; his paintings and films appeared as evidence in a murder trial, and he has been accused of inspiring several other murders and school shootings. In 2021, multiple women accused Manson of psychologically and sexually abusing them, allegations he denied.</p>"
,,,,,,,
Taylor Swift,Taylor Alison Swift,1989|12|13,West Reading,2004–present,"* Vocals
* guitar
* banjo
* piano
* ukulele",Taylor Swift,"<p class=""mw-empty-elt"">



</p>
<p><b>Taylor Alison Swift</b> (born December 13, 1989) is an American singer-songwriter. Her discography spans multiple genres, and her songwriting—often inspired by her personal life—has received critical praise and wide media coverage. Born in West Reading, Pennsylvania, Swift moved to Nashville at age 14 to become a country artist. She signed a songwriting deal with Sony/ATV Music Publishing in 2004 and a recording contract with Big Machine Records in 2005. Her 2006 self-titled debut album made her the first female country singer to write a U.S. platinum-certified album.
</p><p>Swift's next albums, <i>Fearless</i> (2008) and <i>Speak Now</i> (2010), explored country pop. The former's ""Love Story"" and ""You Belong with Me"" were the first country songs to top the U.S. pop and all-genre airplay charts, respectively. She experimented with rock and electronic styles on <i>Red</i> (2012), which featured her first <i>Billboard</i> Hot 100 number-one song, ""We Are Never Ever Getting Back Together"", and eschewed her country image in her synth-pop album, <i>1989</i> (2014), supported by chart-topping songs ""Shake It Off"", ""Blank Space"", and ""Bad Blood"". Media scrutiny inspired the urban-flavored <i>Reputation</i> (2017) and its number-one single ""Look What You Made Me Do"".
</p><p>Exiting Big Machine, Swift signed with Republic Records in 2018 and released her seventh studio album, <i>Lover</i> (2019), followed by the autobiographical documentary <i>Miss Americana</i> (2020). She ventured into indie folk and alternative rock in her 2020 albums <i>Folklore</i> and <i>Evermore</i>, whose singles ""Cardigan"" and ""Willow"" topped the Hot 100. Swift began re-recording her first six albums after a dispute over their masters, re-releasing two in 2021—<i>Fearless (Taylor's Version)</i> and <i>Red (Taylor's Version)</i>. The latter's ""All Too Well (10 Minute Version)"" became the longest song to top the Hot 100. Her tenth original album <i>Midnights</i> (2022) and its single ""Anti-Hero"" broke all-time streaming records. Swift has directed music videos and films, such as <i>All Too Well: The Short Film</i> (2021), and played supporting roles in others.
</p><p>Having sold over 200 million records globally, Swift is one of the best-selling musicians in history. She is the most streamed woman on Spotify, and the only act to have five albums open with over one million copies sold in the US. Among her accolades are 12 Grammy Awards, including three Album of the Year wins; an Emmy Award; 40 American Music Awards; 29 <i>Billboard</i> Music Awards; and 92 <i>Guinness World Records</i>. Swift has been featured in rankings such as <i>Rolling Stone</i>'s 100 Greatest Songwriters of All Time, <i>Billboard</i>'s Greatest of All Time Artists, the <i>Time</i> 100 and <i>Forbes</i> Celebrity 100. Honored with titles such as Artist of the Decade and Woman of the Decade, Swift is an advocate for artists' rights and women's empowerment. Her music is credited with influencing a generation of singer-songwriters.
</p>"
,,,,,,,
Calvin Harris,Adam Richard Wiles,1984|1|17,Dumfries,1999–present,Piano|keyboards|synthesiser|guitar|bass guitar|sampler|sequencer|vocals,Calvin Harris,"<p class=""mw-empty-elt"">

</p>
<p><b>Adam Richard Wiles</b> (born 17 January 1984), known professionally as <b>Calvin Harris</b>, is a Scottish DJ, record producer, singer, and songwriter who has released six studio albums. 
</p><p>His debut studio album, <i>I Created Disco</i>, was released in June 2007. Its singles ""Acceptable in the 80s"" and ""The Girls"" both reached the top 10 in the UK. In 2009, he released second studio album, <i>Ready for the Weekend</i>, which debuted at number one on the UK Albums Chart and whose lead single, ""I'm Not Alone"", became his first song to top the UK Singles Chart.
</p><p>In 2012, Harris rose to international prominence with the release of his third studio album, <i>18 Months</i>, which topped the UK Albums Chart and became his first album to chart on the US <i>Billboard</i> 200, peaking at number 19. All eight of the album's singles reached the top 10 in the UK, breaking the record for the most top 10 songs from one studio album on the UK Singles Chart with eight entries, surpassing Michael Jackson's record. In 2014, he released his fourth studio album, <i>Motion</i>, which debuted at number two in the UK and number five in the US. In 2017, he released his fifth studio album, <i>Funk Wav Bounces Vol. 1</i>, which reached the top two in the UK and the US and became his third consecutive number one album on the US Dance/Electronic Albums chart. His sixth studio album <i>Funk Wav Bounces Vol. 2</i> (2022) serves as a sequel to his previous release.
</p><p>In October 2014, Harris became the first artist to place three songs simultaneously on the top 10 of <i>Billboard</i><span>'s</span> Dance/Electronic Songs chart. He also became the first UK solo artist to reach more than one billion streams on Spotify. Harris has received 18 Brit Award nominations–winning British Producer of the Year and British Single of the Year in 2019, as well as five Grammy nominations, including a win for Best Music Video in 2013. In 2013 he also received a Ivor Novello Award, and was named the Top Dance/Electronic Artist at the 2015 <i>Billboard</i> Music Awards. He appeared on Debrett's 2017 list of the most influential people in the United Kingdom. He topped <i>Forbes</i><span>'</span> list of the world's highest-paid DJs for six consecutive years from 2013 to 2018 until being dethroned by The Chainsmokers in 2019.
</p>"
,,,,,,,
Wiz Khalifa,Cameron Jibril Thomaz,1987|9|8,Minot,2005–present,,Wiz Khalifa,"<p class=""mw-empty-elt"">

</p>
<p><b>Cameron Jibril Thomaz</b> (born September 8, 1987), better known by his stage name <b>Wiz Khalifa</b>, is an American rapper, singer, songwriter, and actor. He released his debut album, <i>Show and Prove</i>, in 2006 and signed to Warner Bros. Records in 2007. His Eurodance-influenced single ""Say Yeah"" received urban radio airplay, charting on the Rhythmic Top 40 and Hot Rap Tracks charts in 2008, becoming his first minor hit.</p><p>Thomaz parted with Warner Bros. and released his second album, <i>Deal or No Deal</i>, in November 2009. He released the mixtape <i>Kush and Orange Juice</i> as a free download in April 2010; he then signed with Atlantic Records. Thomaz then adopted a more radio-friendly, pop-oriented approach with his debut single for Atlantic, ""Black and Yellow"". The song, a tribute to his hometown of Pittsburgh, debuted at number 100 and eventually peaked at number 1 on the <i>Billboard</i> Hot 100. The song became the lead single for his third album <i>Rolling Papers</i>, which was released in March 2011, and also had the Top 40 singles ""Roll Up"" and ""No Sleep"".</p><p>The album's success was followed up with <i>O.N.I.F.C.</i> in December 2012, which was backed by the singles ""Work Hard, Play Hard"" and ""Remember You"" (featuring the Weeknd). Wiz released his fifth album <i>Blacc Hollywood</i> in August 2014, backed by the lead single ""We Dem Boyz"". In March 2015, he released ""See You Again"" (featuring Charlie Puth) for the soundtrack of the film <i>Furious 7</i> and the song peaked at number one on the <i>Billboard</i> Hot 100 for 12 non-consecutive weeks.</p>"
,,,,,,,
John Lennon,John Winston Lennon,1940|10|9,Liverpool,1956–1980,,John Lennon,"<p class=""mw-empty-elt"">



</p>
<p><b>John Winston Ono Lennon</b> (born <b>John Winston Lennon</b>; 9 October 1940 – 8 December 1980) was an English singer, songwriter, musician and peace activist who achieved worldwide fame as  founder, co-songwriter, co-lead vocalist and rhythm guitarist of the Beatles. Lennon's work was characterised by the rebellious nature and acerbic wit of his music, writing and drawings, on film, and in interviews. His songwriting partnership with Paul McCartney remains the most successful in history.</p><p>Born in Liverpool, Lennon became involved in the skiffle craze as a teenager. In 1956, he formed The Quarrymen, which evolved into the Beatles in 1960. Sometimes called ""the smart Beatle"", he was initially the group's <i>de facto</i> leader, a role gradually ceded to McCartney. Through his songwriting in the Beatles, Lennon embraced a myriad of musical influences, initially writing and co-writing rock and pop-oriented hit songs in the band’s early years, then later incorporating experimental elements into his compositions in the latter half of the Beatles’ career as his songs became known for their increasing innovation. Lennon soon expanded his work into other media by participating in numerous films, including <i>How I Won the War</i>, and authoring <i>In His Own Write</i> and <i>A Spaniard in the Works</i>, both collections of nonsense writings and line drawings. Starting with ""All You Need Is Love"", his songs were adopted as anthems by the anti-war movement and the larger counterculture of the 1960s. In 1969, he started the Plastic Ono Band with his second wife, the multimedia artist Yoko Ono, held the two-week-long anti-war demonstration Bed-ins for Peace, and left the Beatles to embark on a solo career.
</p><p>Between 1968 and 1972, Lennon and Ono collaborated on many works, including a trilogy of avant-garde albums, several more films, his solo debut <i>John Lennon/Plastic Ono Band</i>, and the international top-10 singles  ""Give Peace a Chance"", ""Instant Karma!"", ""Imagine"" and ""Happy Xmas (War Is Over)"". Moving to New York City in 1971, his criticism of the Vietnam War resulted in a three-year deportation attempt by the Nixon administration. Lennon and Ono separated from 1973 to 1975, during which time he produced Harry Nilsson's album <i>Pussy Cats</i>. He also had chart-topping collaborations with Elton John (""Whatever Gets You thru the Night"") and David Bowie (""Fame""). Following a five-year hiatus, Lennon returned to music in 1980 with the Ono collaboration <i>Double Fantasy</i>. He was murdered by a Beatles fan, Mark David Chapman, three weeks after the album's release.
</p><p>As a performer, writer or co-writer, Lennon had 25 number-one singles in the <i>Billboard</i> Hot 100 chart. <i>Double Fantasy</i>, his best-selling album, won the 1981 Grammy Award for Album of the Year. In 1982, Lennon won the Brit Award for Outstanding Contribution to Music. In 2002, Lennon was voted eighth in a BBC history poll of the 100 Greatest Britons. <i>Rolling Stone</i> ranked him the fifth-greatest singer and 38th greatest artist of all time. He was inducted into the Songwriters Hall of Fame (in 1997) and the Rock and Roll Hall of Fame (twice, as a member of the Beatles in 1988 and as a solo artist in 1994).
</p>


"
,,,,,,,
Lily Allen,Lily Rose Beatrice Allen,1985|5|2,Hammersmith,1998–present,Vocals,Lily Allen,"<p class=""mw-empty-elt"">


</p>
<p><b>Lily Rose Beatrice Allen</b> (born 2 May 1985) is an English singer-songwriter and actress.  She is the daughter of actor Keith Allen and film producer Alison Owen. Her music career began in 2005 when she made some of her vocal recordings public on Myspace and the publicity resulted in airplay on BBC Radio 1 and a contract with Regal Recordings.  Her first mainstream single, ""Smile"", reached number one on the UK Singles Chart in July 2006. Her debut record, <i>Alright, Still</i>, was well received, selling over 2.6 million copies worldwide and bringing Allen nominations at the Grammy Awards, the Brit Awards, and the MTV Video Music Awards.
</p><p>In 2009, her second studio album—<i>It's Not Me, It's You</i>—saw a genre shift, having more of an electropop feel, rather than the ska and reggae influences of the first one. The album debuted at number one on the UK Albums Chart and the Australian ARIA Charts and was well received by critics, noting the singer's musical evolution and maturity. It spawned the hit singles ""The Fear"", ""Not Fair"" and ""Fuck You"". This success saw her receive the Brit Award for British Female Solo Artist at the 2010 Brit Awards. Allen and Amy Winehouse were credited with starting a process that led to the ""year of the women"" media label in 2009 that saw five female artists making music of ""experimentalism and fearlessness"" nominated for the Mercury Prize. She has released two further albums: <i>Sheezus</i> (2014), which debuted at number one on the UK Albums Chart, and <i>No Shame</i> (2018) debuting at number eight.
</p><p>Allen also ventured into other careers; in 2008, she hosted her own television talk show, <i>Lily Allen and Friends</i>, on BBC Three before launching her own record label, In the Name Of, in 2011. In 2018, Allen released her autobiographical book, <i>My Thoughts Exactly.</i> As an actress, Allen appeared in the 2019 film <i>How to Build a Girl</i>. In 2021, she made her West End debut in the new play <i>2:22 A Ghost Story</i>, for which she received a Laurence Olivier Award nomination for Best Actress.
</p>"
,,,,,,,
Bruce Springsteen,Bruce Frederick Joseph Springsteen,1949|9|23,Long Branch,1964–present,,Bruce Springsteen,"<p class=""mw-empty-elt"">
</p>
<p><b>Bruce Frederick Joseph Springsteen</b> (born September 23, 1949) is an American singer, songwriter, and musician. He has released 21 studio albums, most of which feature his backing band, the E Street Band. Originally from the Jersey Shore, he is an originator of heartland rock, combining mainstream rock musical styles with narrative songs about working class American life. Nicknamed ""<b>The Boss</b>"", his career has spanned six decades. Springsteen is known for his poetic, socially conscious lyrics and energetic stage performances, sometimes lasting up to four hours.</p><p>In 1973, Springsteen released his first two albums, <i>Greetings from Asbury Park, N.J.</i> and <i>The Wild, the Innocent &amp; the E Street Shuffle</i>, neither of which earned him a large audience. He changed his style and reached worldwide popularity with <i>Born to Run</i> in 1975. It was followed by <i>Darkness on the Edge of Town</i> (1978) and <i>The River</i> (1980), which topped the US <i>Billboard</i> 200 chart. After the solo recording, <i>Nebraska</i> (1982), he reunited with the E Street Band for <i>Born in the U.S.A.</i> (1984), his most commercially successful album and one of the best-selling albums of all time. Seven of its singles reached the Top Ten of the <i>Billboard</i> Hot 100, including the title track. Springsteen recorded his next three albums, <i>Tunnel of Love</i> (1987), <i>Human Touch</i> (1992), and <i>Lucky Town</i> (1992) using mostly session musicians. He reassembled the E Street Band for 1995's <i>Greatest Hits</i>, then recorded the sparse acoustic <i>The Ghost of Tom Joad</i>, followed by the EP <i>Blood Brothers</i> (1996), his last release of the decade.
</p><p>Springsteen dedicated his 2002 album <i>The Rising</i> to the victims of the September 11 attacks. He released two more folk albums, <i>Devils &amp; Dust</i> (2005) and <i>We Shall Overcome: The Seeger Sessions</i> (2006), followed by two more albums with the E Street Band: <i>Magic</i> (2007) and <i>Working on a Dream</i> (2009). The next two, <i>Wrecking Ball</i> (2012) and <i>High Hopes</i> (2014), topped album charts worldwide. His latest releases include the solo <i>Western Stars</i> (2019), the E Street Band-featuring <i>Letter to You</i> (2020) and a solo cover album <i>Only the Strong Survive</i> (2022). When <i>Letter to You</i> went to No.2 in the US, Springsteen became the first artist to score a Top Five hit across six consecutive decades.</p><p>Among the album era's prominent acts, Springsteen has sold more than 140 million records worldwide and more than 71 million in the United States, making him one of the world's best-selling music artists. He has earned numerous awards for his work, including 20 Grammy Awards, two Golden Globes, an Academy Award, and a Special Tony Award (for <i>Springsteen on Broadway</i>). Springsteen was inducted into both the Songwriters Hall of Fame and the Rock and Roll Hall of Fame in 1999, received the Kennedy Center Honors in 2009, named MusiCares person of the year in 2013, and awarded the Presidential Medal of Freedom by President Barack Obama in 2016. He ranked 23rd on <i>Rolling Stone</i><span>'</span>s list of the Greatest Artists of All Time, which described him as being ""the embodiment of rock &amp; roll"".</p>"
,,,,,,,
Gwen Stefani,Gwen Renée Stefani,1969|10|3,Fullerton,1986–present,Vocals,Gwen Stefani,"<p class=""mw-empty-elt"">


</p>
<p><b>Gwen Renée Stefani</b> (<span></span>; born October 3, 1969) is an American singer, songwriter, fashion designer and actress. She is a co-founder, lead vocalist, and the primary songwriter of the band No Doubt, whose singles include ""Just a Girl"", ""Spiderwebs"", and ""Don't Speak"", from their 1995 breakthrough studio album <i>Tragic Kingdom</i>, as well as ""Hey Baby"" and ""It's My Life"" from later albums.
</p><p>During the band's hiatus, Stefani embarked on a solo pop career in 2004 by releasing her debut studio album <i>Love. Angel. Music. Baby.</i> Inspired by pop music from the 1980s, the album was a critical and commercial success. It spawned six singles, including ""What You Waiting For?"", ""Rich Girl"", ""Hollaback Girl"", and ""Cool"". ""Hollaback Girl"" reached number one on the <i>Billboard</i> Hot 100 chart while also becoming the first US download to sell one million copies. In 2006, Stefani released her second studio album, <i>The Sweet Escape</i>. Among the singles were ""Wind It Up"" and ""The Sweet Escape"", the latter of which was number three on the <i>Billboard</i> Hot 100 year-end chart of 2007. Her third solo album, <i>This Is What the Truth Feels Like</i> (2016), was her first solo album to reach number one on the <i>Billboard</i> 200 chart. Her fourth solo album and first full-length Christmas album, <i>You Make It Feel Like Christmas</i>, was released in 2017 and charted 19 tracks on <i>Billboard</i><span>'</span>s Holiday Digital Song Sales component chart in the United States. Stefani has released several singles with Blake Shelton, including ""Nobody but You"" (2020), which reached number 18 in the US.
</p><p>Stefani has won three Grammy Awards. As a solo artist, she has received an American Music Award, a Brit Award, a World Music Award, and two <i>Billboard</i> Music Awards. In 2003, she debuted her clothing line L.A.M.B. and expanded her collection with the 2005 Harajuku Lovers line inspired by Japanese culture and fashion. <i>Billboard</i> magazine ranked Stefani the 54th most successful artist and 37th most successful Hot 100 artist of the 2000–2009 decade. VH1 ranked her 13th on their ""100 Greatest Women in Music"" list in 2012. Including her work with No Doubt, Stefani has sold more than 30 million albums worldwide.</p>


"
,,,,,,,
Stevie Wonder,,1950|5|13,Saginaw,1961–present,"* Vocals
* keyboards
* harmonica
* drums",Stevie Wonder,"<p class=""mw-empty-elt"">

</p>
<p><b>Stevland Hardaway Morris</b> (<span title=""Name at birth"">né </span> <b>Judkins</b>; May 13, 1950), known professionally as <b>Stevie Wonder</b>, is an American singer-songwriter, who is credited as a pioneer and influence by musicians across a range of genres that include rhythm and blues, pop, soul, gospel, funk, and jazz. A virtual one-man band, Wonder's use of synthesizers and other electronic musical instruments during the 1970s reshaped the conventions of R&amp;B. He also helped drive such genres into the album era, crafting his LPs as cohesive and consistent, in addition to socially conscious statements with complex compositions. Blind since shortly after his birth, Wonder was a child prodigy who signed with Motown's Tamla label at the age of 11, where he was given the professional name <b>Little Stevie Wonder</b>.
</p><p>Wonder's single ""Fingertips"" was a No. 1 hit on the <i>Billboard</i> Hot 100 in 1963, at the age of 13, making him the youngest artist ever to top the chart. Wonder's critical success was at its peak in the 1970s. His ""classic period"" began in 1972 with the releases of <i>Music of My Mind</i> and <i>Talking Book</i>, the latter featuring ""Superstition"", which is one of the most distinctive and famous examples of the sound of the Hohner Clavinet keyboard. His works <i>Innervisions</i> (1973), <i>Fulfillingness' First Finale</i> (1974) and <i>Songs in the Key of Life</i> (1976) all won the Grammy Award for Album of the Year, making him the tied-record holder for the most Album of the Year wins, with three. He is also the only artist to have won the award with three consecutive album releases. Wonder began his ""commercial period"" in the 1980s; he achieved his biggest hits and highest level of fame, had increased album sales, charity participation, high-profile collaborations (including Paul McCartney and Michael Jackson), political impact, and television appearances. Wonder has continued to remain active in music and political causes.
</p><p>Wonder is one of the best-selling music artists of all time, with sales of over 100 million records worldwide. He has won 25 Grammy Awards (the most by a solo artist) and one Academy Award (Best Original Song, for the 1984 film <i>The Woman in Red</i>). Wonder has been inducted into the Rhythm and Blues Music Hall of Fame, Rock and Roll Hall of Fame and Songwriters Hall of Fame. He is also noted for his work as an activist for political causes, including his 1980 campaign to make Martin Luther King Jr.'s birthday a federal holiday in the U.S. In 2009, he was named a United Nations Messenger of Peace, and in 2014, he was honored with the Presidential Medal of Freedom.
</p>"
,,,,,,,
Flo Rida,Tramar Lacel Dillard,1979|9|16,Miami Gardens,2000–present,,Flo Rida,"<p class=""mw-empty-elt"">
</p>

<p><b>Tramar Lacel Dillard</b> (born September 16, 1979), better known by his stage name <b>Flo Rida</b> (<span></span>, <i title=""English pronunciation respelling"">floh <span>RY</span>-də</i>), is an American rapper and singer. His 2007 breakout single ""Low"" was number one for 10 weeks in the United States and broke the record for digital download sales at the time of its release.
</p><p>Flo Rida's debut studio album, 2008's <i>Mail on Sunday</i>, reached number four in the US. The album was succeeded by <i>R.O.O.T.S.</i>, the next year. His subsequent albums, 2010's <i>Only One Flo (Part 1)</i> and 2012's <i>Wild Ones</i>, also charted on the US <i>Billboard</i> 200 chart. Flo Rida has sold over 80 million records worldwide, making him one of the best-selling music artists. His catalog includes the international hit singles ""Right Round"", ""Club Can't Handle Me"", ""Good Feeling"", ""Wild Ones"", ""Whistle"", ""I Cry"", ""G.D.F.R."" and ""My House"".
</p><p>In 2023, a jury awarded Flo Rida $82.6 million in his breach-of-contract lawsuit against energy drink maker, Celsius, with whom he had an endorsement deal.
</p>


"
,,,,,,,
Sia,Sia Kate Isobelle Furler,1975|12|18,Adelaide,,,Sia,"<p class=""mw-empty-elt"">


</p>
<p><b>Sia Kate Isobelle Furler</b> (<span></span> <i title=""English pronunciation respelling""><span>SEE</span>-ə</i>; born 18 December 1975) is an Australian singer and songwriter. Born and raised in Adelaide, she started her career as a singer in the acid jazz band Crisp in the mid-1990s. When Crisp disbanded in 1997, she released her debut studio album, <i>OnlySee</i>, in Australia. She moved to London and provided vocals for the British duo Zero 7. Sia released her second studio album, <i>Healing Is Difficult</i>, in 2001, and her third, <i>Colour the Small One</i>, in 2004.
</p><p>Sia moved to New York City in 2005 and toured the United States. Her fourth and fifth studio albums, <i>Some People Have Real Problems</i> and <i>We Are Born</i>, were released in 2008 and 2010, and both were certified gold by the Australian Recording Industry Association and attracted wider notice than her earlier albums. Uncomfortable with her growing fame, Sia took a hiatus from performing and focused on songwriting for other artists, producing successful collaborations ""Titanium"" (with David Guetta), ""Diamonds"" (with Rihanna) and ""Wild Ones"" (with Flo Rida).
</p><p>In 2014, Sia broke through as a solo recording artist when her sixth studio album, <i>1000 Forms of Fear</i>, debuted at No. 1 in the U.S. <i>Billboard</i> 200 and generated the top-ten single ""Chandelier"" and a trilogy of music videos co-directed by Sia and starring child dancer Maddie Ziegler. Since then, Sia has usually worn a wig that obscures her face to protect her privacy. Her seventh studio album, <i>This Is Acting</i> (2016), spawned her first <i>Billboard</i> Hot 100 number one single, ""Cheap Thrills"". That year she also began her Nostalgic for the Present Tour, which incorporated dancing by Ziegler and others, and other performance art elements. Her eighth studio album, <i>Everyday Is Christmas</i>, was released in 2017 and reissued in 2018 with three bonus tracks. In 2018, she collaborated with Labrinth and Diplo in the group LSD, and they released their self-titled debut album in April 2019. Sia has written many songs for films, and she directed a feature film, titled <i>Music</i>, which was released in early 2021 alongside an album, <i>Music – Songs from and Inspired by the Motion Picture</i>.
</p><p>She is an advocate for animal rights. Among the accolades received by Sia are nearly a dozen ARIA Awards, 9 Grammy Award nominations and an MTV Video Music Award.
</p>


"
,,,,,,,
Jennifer Lopez,Jennifer Lynn Lopez,1969|7|24,{{nowrap,1986–present,,Jennifer Lopez,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">


</p>
<p><b>Jennifer Lynn Affleck</b> (<i><span title=""Name at birth"">née </span></i> <b>Lopez</b>;  born July 24, 1969), also known as <b>J.Lo</b>, is an American actress, singer and dancer. In 1991, she began appearing as a Fly Girl dancer on the sketch comedy television series <i>In Living Color</i>, where she remained a regular until she decided to pursue an acting career in 1993. For her first leading role in <i>Selena</i> (1997), she became the first Hispanic actress to earn over US$1 million for a film. She went on to star in <i>Anaconda</i> (1997) and <i>Out of Sight</i> (1998), and established herself as the highest-paid Hispanic actress in Hollywood.</p><p>Lopez ventured into the music industry with her debut studio album <i>On the 6</i> (1999), which helped propel the Latin pop movement in American music, and later starred in the psychological horror <i>The Cell</i> (2000). With the simultaneous release of her second studio album <i>J.Lo</i> and her romantic comedy <i>The Wedding Planner</i> in 2001, she became the first woman to have a number-one album and film in the same week. Her 2002 release, <i>J to tha L–O! The Remixes</i>, became the first remix album in history to debut atop the US <i>Billboard</i> 200. Later that year, she released her third studio album, <i>This Is Me... Then</i> and starred in the film <i>Maid in Manhattan</i>.
</p><p>After starring in <i>Gigli</i> (2003), a critical and commercial failure, Lopez starred in the successful romantic comedies <i>Shall We Dance?</i> (2004) and <i>Monster-in-Law</i> (2005). Her fifth studio album, <i>Como Ama una Mujer</i> (2007), had the highest first week sales for a debut Spanish album in the United States. Following a relatively unsuccessful period, she returned to prominence in 2011 with her appearance as a judge on <i>American Idol</i> and released her seventh studio album, <i>Love?</i>. From 2016 to 2018, she starred in the police drama series <i>Shades of Blue</i> and performed a residency show, Jennifer Lopez: All I Have, at Planet Hollywood Las Vegas. She also produced and served as a judge on <i>World of Dance</i> (2017–2020). In 2019, she garnered critical acclaim for her performance as a stripper in the crime drama <i>Hustlers</i>.
</p><p>Lopez is considered a pop culture icon, and is often described as a triple threat entertainer. With a cumulative film gross of US$3.1 billion and estimated global sales of 80 million records, she is considered the most influential Hispanic entertainer in North America. In 2012, <i>Forbes</i> ranked her the world's most powerful celebrity, and the 38th most powerful woman in the world. <i>Time</i> listed her among their 100 most influential people in the world in 2018. Her most successful singles on the US <i>Billboard</i> Hot 100 include ""If You Had My Love"", ""I'm Real"", ""Ain't It Funny"", ""All I Have"" and ""On the Floor"". For her contributions to the recording industry, she has a landmark star on the Hollywood Walk of Fame, and has received the <i>Billboard</i> Icon Award and the Michael Jackson Video Vanguard Award, among other honors. Her other ventures include beauty and clothing lines, fragrances, a production company and a charitable foundation.</p>"
,,,,,,,
Iron & Wine,Samuel Ervin Beam,1974|7|26,Chapin,,Vocals|guitar|[[banjo]]|piano|percussion|harmonica|bass,Iron & Wine,"<p class=""mw-empty-elt"">
</p>


<p><b>Samuel</b> ""<b>Sam</b>"" <b>Ervin Beam</b> (born July 26, 1974), better known by his stage name <b>Iron &amp; Wine</b>, is an American singer-songwriter. He has released six studio albums, several EPs and singles, as well as a few download-only releases, which include a live album (a recording of his 2005 Bonnaroo performance). He occasionally tours with a full band.</p><p>Beam was raised in South Carolina before moving to Virginia and then Florida to attend school. He now resides in Durham, North Carolina. The name <i>Iron &amp; Wine</i> is taken from a dietary supplement named ""Beef, Iron &amp; Wine"" that he found in a general store while shooting a film.</p>


"
,,,,,,,
