Band,Type,Origin,Years Active,Page Title,Summary
The Whitest Boy Alive,band,Berlin,"2003–2014, 2017, 2019–present",The Whitest Boy Alive,"<p class=""mw-empty-elt"">
</p>
<p><b>The Whitest Boy Alive</b> is a German-Norwegian musical group based in Berlin. It was originally active from 2003 to 2014; after a five-year hiatus, the group reformed in 2019. The band is composed of singer and guitarist Erlend Øye of Kings of Convenience, bassist Marcin Öz, drummer Sebastian Maschat, and Daniel Nentwig on Rhodes piano and Crumar.
</p>
"
Buzzcocks,band,Bolton,1976–1981|1989–present,Buzzcocks,"<p class=""mw-empty-elt"">

</p>
<p><b>Buzzcocks</b> are an English punk rock band formed in Bolton, England in 1976 by singer-songwriter-guitarist Pete Shelley and singer-songwriter Howard Devoto. They are regarded as a seminal influence on the Manchester music scene, the independent record label movement, punk rock, power pop, and pop punk. They achieved commercial success with singles that fused pop craftsmanship with rapid-fire punk energy. These singles were collected on <i>Singles Going Steady</i>, an acclaimed compilation album described by music journalist and critic, Ned Raggett, as a ""punk masterpiece"".</p><p>Devoto and Shelley chose the name ""Buzzcocks"" after reading the headline, ""It's the Buzz, Cock!"", in a review of the TV series <i>Rock Follies</i> in <i>Time Out</i> magazine. The ""buzz"" is the excitement of playing on stage; ""cock"" is northern English slang meaning ""friend"". They thought it captured the excitement of the nascent punk scene, as well as having humorous sexual connotations following Pete Shelley's time working in a Bolton adult shop.</p><p>Devoto left the band in 1977, after which Pete Shelley became the principal singer-songwriter. After releasing three albums, as well as <i>Singles Going Steady</i>, the band broke up in 1981 following a dispute with their then-record label, but reunited in 1989, since releasing six more albums. Shelley died in 2018, but the band has remained active. Steve Diggle, the guitarist and co-founder of the band, is now singer. They added a new guitarist Mani Perazzoli. They are still touring.
</p>"
Girls Aloud,band,London,,Girls Aloud,"<p class=""mw-empty-elt"">


</p>
<p><b>Girls Aloud</b> were an <span>English-Irish</span> pop girl group that was created through the ITV talent show <i>Popstars: The Rivals</i> in 2002. The group comprised singers Cheryl, Nadine Coyle, Sarah Harding, Nicola Roberts and Kimberley Walsh. The group achieved a string of twenty consecutive top ten singles in the United Kingdom, including four number ones. They also achieved seven certified albums, of which two reached number one. They have been nominated for five Brit Awards, winning the 2009 Best Single for ""The Promise"".
</p><p>The group's musical style is pop, but they had experimented with electropop, dance-pop and dance-rock throughout their career. Girls Aloud's collaborations with Brian Higgins and his songwriting and production team Xenomania earned the group critical acclaim, due to an innovative approach to mainstream pop music. The group became one of the few UK reality television acts to achieve continued success, amassing a fortune of £30 million by May 2010. <i>Guinness World Records</i> lists them as the ""Most Successful Reality TV Group"" in the 2007 edition. They also hold the record for ""Most Consecutive Top Ten Entries in the UK by a Female Group"" in the 2008 edition, and are credited again for ""Most Successful Reality TV Group"" in the 2011 edition. The group was also named the United Kingdom's biggest selling girl group of the 21st century, with over 4.3 million singles sales and 4 million albums sold in the UK alone. The group disbanded in March 2013 following the conclusion of the Ten: The Hits Tour.</p>

"
Culture Club,band,London,,Culture Club,"<p class=""mw-empty-elt"">

</p>
<p><b>Culture Club</b> are  an English pop band formed in London in 1981. The band comprises Boy George (lead vocals), Roy Hay (guitar and keyboards), and Mikey Craig (bass guitar), and formerly included Jon Moss (drums and percussion). Emerging in the New Romantic scene, they are considered one of the most representative and influential groups of the 1980s.</p><p>Led by singer and frontman Boy George, whose androgynous style of dressing caught the attention of the public and the media in the early 1980s, the band have sold more than 50 million records, including over 6 million BPI certified records sold in the UK and over 7 million RIAA certified records sold in the US. Their hits include ""Do You Really Want to Hurt Me"", ""Time (Clock of the Heart)"", ""I'll Tumble 4 Ya"", ""Church of the Poison Mind"", ""Karma Chameleon"", ""Victims"", ""Miss Me Blind"", ""It's a Miracle"", ""The War Song"", ""Move Away"", and ""I Just Wanna Be Loved"". In the UK they amassed twelve Top 40 hit singles between 1982 and 1999, including the number ones ""Do You Really Want To Hurt Me"" and ""Karma Chameleon"", the latter being the biggest selling single of 1983 in the UK, and hit number one on the US Hot 100 in 1984. The song ""Time (Clock of the Heart)"" is included on the Rock and Roll Hall of Fame's list of 500 songs that shaped rock and roll.
</p><p>Their second album, <i>Colour by Numbers</i>, sold more than 10 million copies worldwide. It appeared on <i>Rolling Stone</i> magazine's list of the 100 Best Albums of the 1980s and is also included in the book <i>1001 Albums You Must Hear Before You Die</i>. Ten of their singles reached the US Top 40, where they are associated with the Second British Invasion of British new wave groups that became popular in the US due to the cable music channel MTV. Culture Club's music combines British new wave and American soul and pop. It also includes some elements of Jamaican reggae and also other styles such as calypso, salsa, and with ""Karma Chameleon"", elements of country music.</p><p>Culture Club have sold more than 50 million records worldwide, including 7 million records in the United States. In 1984, Culture Club won Brit Awards for Best British Group, Best British Single (""Karma Chameleon""), and the Grammy Award for Best New Artist. They were nominated the same year for the Grammy Award for Pop Vocal by Group or Duo. The band were also nominated for a Canadian Juno Award for International Album of the Year. In January 1985, Culture Club were nominated for an American Music Award for Favorite Pop/Rock Band/Duo/Group Video Artist, and in September 1985, they were nominated for two MTV Video Music Awards for Best Special Effects and Best Art Direction for their video ""It's a Miracle"". In 1987, they received another nomination for an American Music Award for Favorite Pop/Rock Band/Duo/Group Video Artist.</p>"
Thousand Foot Krutch,band,,1995–2017 (indefinite hiatus),Thousand Foot Krutch,"<p class=""mw-empty-elt"">

</p>
<p><b>Thousand Foot Krutch</b> (often abbreviated <b>TFK</b>) is a Canadian Christian rock band formed in Peterborough, Ontario, in 1995. The band has released eight studio albums, two live albums, and three remix albums. The core members consist of founding member Trevor McNevan (vocals, guitar), Steve Augustine (drums), and Joel Bruyere (bass, backing vocals).
</p><p>Since forming, Thousand Foot Krutch sold over 1.1 million albums and reached No. 1 on the <i>Billboard</i> Hard Rock Albums Chart twice. The band has been on hiatus since 2017.
</p>"
10cc,band,Stockport,"1972–1983; 1991–1995, 1999–present",10cc,"<p class=""mw-empty-elt"">

</p>
<p><b>10cc</b> are an English rock band formed in Stockport in 1972. The group initially consisted of four musicians – Graham Gouldman, Eric Stewart, Kevin Godley and Lol Creme – who had written and recorded together since 1968. The group featured two songwriting teams. Stewart and Gouldman were predominantly pop songwriters, who created most of the band's accessible songs. Godley and Creme were the predominantly experimental half of 10cc, featuring art and cinematically inspired writing.</p><p>Every member of 10cc was a multi-instrumentalist, singer, writer and producer. Most of the band's records were recorded at their own Strawberry Studios (North) in Stockport and Strawberry Studios (South) in Dorking, with most of those engineered by Stewart.
</p><p>From 1972 to 1978, 10cc had five consecutive UK top-ten albums: <i>Sheet Music</i> (1974), <i>The Original Soundtrack</i> (1975), <i>How Dare You!</i> (1976), <i>Deceptive Bends</i> (1977) and <i>Bloody Tourists</i> (1978). 10cc also had twelve singles reach the UK Top 40, three of which were the chart-toppers ""Rubber Bullets"" (1973), ""I'm Not in Love"" (1975) and ""Dreadlock Holiday"" (1978). ""I'm Not in Love"" was their breakthrough worldwide hit and is known for its innovative backing track. Godley and Creme quit the band in 1976 due to artistic disagreements and became a duo act. Stewart left the band in 1995. Since 1999, Gouldman has led a touring version of 10cc.
</p>"
Relient K,band,Canton,1998–present,Relient K,"<p class=""mw-empty-elt"">
</p>
<p><b>Relient K</b> <span></span> is an American rock band formed in 1998 in Canton, Ohio, by Matt Thiessen, Matt Hoopes, and Brian Pittman during the band members' third year in high school and their time at Malone University. The band is named after guitarist Hoopes' automobile, a Plymouth Reliant K car, with the spelling intentionally altered to avoid trademark infringement over the <i>Reliant</i> name. The group is known for its Christian rock, alternative Christian rock, and contemporary Christian music.
</p><p>The group is associated with the contemporary Christian music culture, most notably the Christian rock and punk scene. The group has also performed alongside secular artists. The band has reached critical success with mainstream pop punk and alternative rock. The band's sound incorporates piano and acoustic elements. Since its formation, Relient K has released nine studio albums, seven EPs, two Christmas albums, and one collection of rarities. The band has received numerous awards including a Grammy Award nomination in 2004 for Best Rock Gospel Album and two Dove Awards.</p><p>Relient K has found commercial success with their studio albums, three of which peaked in the top 15 of the U.S. <i>Billboard</i> 200 chart: 2004's <i>Mmhmm</i>, which debuted at No. 15; 2007's <i>Five Score and Seven Years Ago</i>, their fifth and most successful album, which debuted at No. 6; and 2009's <i>Forget and Not Slow Down</i>, which debuted at No. 15. The band has sold over 2 million records, with three albums being given gold certification by the RIAA. The band is also highly successful throughout the Christian albums and contemporary Christian music charts. On October 4, 2011 the band released a cover album <i>Is for Karaoke</i>. On July 2, 2013, the band's seventh full-length album, <i>Collapsible Lung</i>, was released. On July 22, 2016, the band's eighth full-length album, <i>Air for Free</i>, was released. On April 24, 2020, they released <i>Relient K: Live</i> that includes 15 tracks that were only previously available on vinyl and were recorded at shows in 2009 and 2016.</p>"
The Dead Weather,band,Nashville,2009–present (on hiatus),The Dead Weather,"<p class=""mw-empty-elt"">
</p>
<p><b>The Dead Weather</b> is an American rock supergroup, formed in Nashville, Tennessee in 2009. Composed of Alison Mosshart (of The Kills and Discount), Jack White (of The White Stripes and The Raconteurs), Dean Fertita (of Queens of the Stone Age) and Jack Lawrence (of The Raconteurs, The Greenhornes and City and Colour), The Dead Weather debuted at the opening of Third Man Records' Nashville headquarters on March 11, 2009. The band performed live for the first time at the event, immediately before releasing their debut single ""Hang You from the Heavens.""
</p><p>The band's second studio album, <i>Sea of Cowards</i>, was released first in Ireland on May 7, 2010, then on May 10 and 11 in the United Kingdom and the United States, respectively. <i>Dodge and Burn</i>, their third studio album, was released in September 2015.
</p>

"
12 Stones,band,Mandeville,2000–present,12 Stones,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>12 Stones</b> is an American hard rock band, formed in 2000 in Mandeville, Louisiana, and currently consisting of Paul McCoy, Eric Weaver and Sean Dunaway.
</p>"
Capital Cities,band,Los Angeles,,Capital Cities (band),"<p><b>Capital Cities</b> is an American pop duo from Los Angeles, California, formed in 2008 by Ryan Merchant (vocals, keyboard, guitar) and Sebu Simonian (vocals, keyboard). Their debut EP was released on June 7, 2011, with lead single ""Safe and Sound"" which became their first, and only, top ten hit single. The band currently consists of Ryan Merchant, Sebu Simonian, Manny Quintero on bass guitar, Spencer Ludwig on trumpet, Nick Merwin on guitar and Channing Holmes on drums.
</p><p>A subsequent single, ""Kangaroo Court"", was released on March 27, 2012. The band was featured on the Pop Up #1 compilation selected by Perez Hilton that was released on August 7, 2012. The band's song ""Safe and Sound"" charted at #1 on the US Alternative Songs chart. The song was also used in a German Vodafone commercial, in a television commercial in the United States and Canada for the 2014 Mazda 3, and in an Air New Zealand in-flight safety video. The song ""Center Stage"" was featured on ESPN's <i>First Take</i> where they played a short segment of the retro-sounding track before going to commercial breaks.
</p><p>The band's debut album, <i>In a Tidal Wave of Mystery</i>, was released June 4, 2013 via Capitol Records in partnership with Lazy Hooks. It was the first release of new material on Capitol with a Universal Music Group catalog number. The album debuted at number sixty-six on the <i>Billboard</i> 200 chart.
</p>

"
Hurts,band,Manchester,2009–present,Hurts,"<p class=""mw-empty-elt"">

</p>
<p><b>Hurts</b> are an English musical duo formed in Manchester in 2009, consisting of singer Theo Hutchcraft and multi-instrumentalist Adam Anderson. They have released five studio albums: <i>Happiness</i> (2010), <i>Exile</i> (2013), <i>Surrender</i> (2015), <i>Desire</i> (2017) and <i>Faith</i> (2020). Their first two albums both reached the top 10 in several countries.
</p>

"
Toby Keith,band,Moore,1993–present,Toby Keith,"<p class=""mw-empty-elt"">

</p>

<p><b>Toby Keith Covel</b> (born July 8, 1961), known professionally as <b>Toby Keith</b>,  is an American country music singer, songwriter, actor, and record producer. He released his first four studio albums—1993's <i>Toby Keith</i>, 1994's <i>Boomtown</i>, 1996's <i>Blue Moon</i> and 1997's <i>Dream Walkin'</i>, plus a Greatest Hits package—for various divisions of Mercury Records before leaving Mercury in 1998. These albums all earned Gold or higher certification, and produced several Top Ten singles, including his debut ""Should've Been a Cowboy"", which topped the country charts and was the most-played country song of the 1990s. The song has received three million spins since its release, according to Broadcast Music Incorporated.</p><p>Signed to DreamWorks Records Nashville in 1998, Keith released his breakthrough single ""How Do You Like Me Now?!"" in late 1999. This song, the title track to his 1999 album of the same name, was the number one country song of 2000, and one of several chart-toppers during his tenure on DreamWorks Nashville. His next three albums, <i>Pull My Chain</i>, <i>Unleashed</i>, and <i>Shock'n Y'all</i>, produced three more number ones each, and all of the albums were certified 4× Platinum. A second Greatest Hits package followed in 2004, and after that, he released <i>Honkytonk University</i>.
</p><p>When DreamWorks closed in 2005, Keith founded the label Show Dog Nashville, which merged with Universal South Records to become Show Dog-Universal Music in December 2009. He has released ten studio albums through Show Dog/Show Dog-Universal: 2006's <i>White Trash with Money</i>, 2007's <i>Big Dog Daddy</i>, 2008's <i>That Don't Make Me a Bad Guy</i>, 2009's <i>American Ride</i>, 2010's <i>Bullets in the Gun</i>, 2011's <i>Clancy's Tavern</i>, 2012's <i>Hope on the Rocks</i>, 2013's <i>Drinks After Work</i>, 2015's <i>35 MPH Town</i>, 2017's <i>The Bus Songs</i>, and 2021's <i>Peso in My Pocket</i>, as well as the compilation <i>35 Biggest Hits</i> in 2008. Keith also made his acting debut in 2006, starring in the film <i>Broken Bridges</i>, and co-starred with comedian Rodney Carrington in the 2008 film <i>Beer for My Horses</i>, inspired by his song of the same name.
</p><p>Keith has released 19 studio albums, 2 Christmas albums, and 5 compilation albums, totaling worldwide sales of over 40 million albums. He has charted 61 singles on the <i>Billboard</i> Hot Country Songs charts, including 20 number one hits and 22 additional top 10 hits. His longest-lasting number one hits are ""Beer for My Horses"" (a 2003 duet with Willie Nelson) and ""As Good as I Once Was"" (2005), at six weeks each. Keith was awarded the National Medal of Arts by President Donald Trump in a closed ceremony alongside Ricky Skaggs on January 13, 2021.</p>"
Wings,band,,1966–present,Wings Hauser,"<p><b>Gerald Dwight</b> ""<b>Wings</b>"" <b>Hauser</b> (born December 12, 1947) is an American actor and occasional director. He received an Independent Spirit Award nomination for his supporting role in <i>Tough Guys Don't Dance</i> (1987).
</p>"
William Fitzsimmons,band,,,William Fitzsimmons,"<p><b>William Fitzsimmons</b> may refer to:
</p>
<ul><li>William Fitzsimmons (Canadian politician) (1818–1894)</li>
<li>William Fitzsimmons (Northern Ireland politician) (1909–1992), in Northern Ireland</li>
<li>William Fitzsimmons (musician) (born 1978), American singer-songwriter</li></ul>"
Silverstein,band,Burlington,2000–present,Silverstein (band),"<p><b>Silverstein</b> (<span></span>) is a Canadian rock band from Burlington, Ontario, formed in 2000. Their band name is a reference to the famous children's author Shel Silverstein, whom the band had admired and whose work they had read as children. They have released a total of 11 studio albums, seven EPs, a compilation album and a live DVD/CD. Their lineup remained unchanged for eleven years from December 2001 to September 2012, then consisting of lead vocalist Shane Told, lead guitarist Neil Boshart, rhythm guitarist Josh Bradford, bassist Billy Hamilton, and drummer Paul Koehler. In September 2012, the band had announced that Neil Boshart had been fired and would be replaced by Paul Marc Rousseau, who also joined Billy Hamilton on backing vocals. The band achieved moderate success with their second studio album, <i>Discovering the Waterfront</i>, which was nominated for a Juno Award and reached No. 34 on the <i>Billboard</i> 200 charts, with the following two albums charting at similar positions. Silverstein has sold over 1,000,000 albums worldwide.</p><p>The band left long-time record label Victory Records in 2010. Following a period with Hopeless Records and another with Rise Records, they are now signed to UNFD. They released their 9th studio album, <i>A Beautiful Place to Drown</i>, in March 2020. This was nominated for a 2021 Juno award in the “Best Rock Album” category.
</p>"
Crazy Town,band,Los Angeles,,Crazy Town,"<p class=""mw-empty-elt"">
</p>


<p><b>Crazy Town</b> (sometimes abbreviated as <b>CXT</b>) is an American rap rock band formed in Los Angeles in 1995 by Bret Mazur and Seth Binzer. Crazy Town is best known for their 2000 hit single ""Butterfly"", which reached number one on the US <i>Billboard</i> Hot 100 chart and helped their debut album, <i>The Gift of Game</i> (1999), sell over 1.6 million units. Their follow-up album, <i>Darkhorse</i> (2002), failed to achieve the same level of success, contributing to the band's breakup in 2003. Mazur and Binzer reformed the band in 2007 and released their third album, <i>The Brimstone Sluggers</i>, in 2015. In 2017, Mazur left the band and Binzer changed the name of the band to <b>Crazy Town X</b>.
</p>"
Leftfield,band,London,"1989–2002, 2010–present",Leftfield,"<p class=""mw-empty-elt"">

</p>
<p><b>Leftfield</b> are a British electronic music group formed in 1989 a duo of Neil Barnes and Paul Daley (the latter formerly of the Rivals and A Man Called Adam). The duo was influential in the evolution of electronic music in the 1990s, with <i>Mixmag</i> describing them as ""the single most influential production team working in British dance music"". As with many of their contemporaries, such as the Chemical Brothers and Fatboy Slim, Leftfield are notable for their use of guest vocalists in their works. Among them were Toni Halliday on ""Original"", Johnny Rotten on ""Open Up"", Djum Djum on ""Afro-Left"", and Earl 16 and Cheshire Cat on ""Release the Pressure"". The term progressive house was coined to define their style, a fusion of house with dub and reggae.</p><p>There was a hiatus in recording and live performances between 2002 and 2010. When Barnes revived Leftfield, Daley declined to be involved, to focus on his solo career. After touring for a few years, Barnes finished writing new material for a third Leftfield album, <i>Alternative Light Source</i>. In 2022, they released their fourth studio album titled <i>This Is What We Do</i>.
</p>"
Bad Company,band,"1.2
",,Bad Company,"<p class=""mw-empty-elt"">

</p>

<p><b>Bad Company</b> are  an English rock supergroup that was formed in 1973 by singer Paul Rodgers, guitarist Mick Ralphs, drummer Simon Kirke and bassist Boz Burrell. Peter Grant, who managed the rock band Led Zeppelin, also managed Bad Company until 1982.
</p><p>Bad Company enjoyed great success throughout the 1970s. Their first three albums, <i>Bad Company</i> (1974), <i>Straight Shooter</i> (1975), and <i>Run with the Pack</i> (1976), reached the top five in the album charts in both the UK and the US. Many of their singles and songs, such as ""Bad Company"", ""Can't Get Enough"", ""Good Lovin' Gone Bad"", ""Feel Like Makin' Love"", ""Ready for Love"", ""Shooting Star"", and ""Rock 'n' Roll Fantasy"", remain staples of classic rock radio. They have sold 20 million RIAA-certified albums in the US and 40 million worldwide.</p>"
The Ronettes,band,New York City,"1957–1967, 1973–1974",The Ronettes,"<p><b>The Ronettes</b> were an American girl group from Washington Heights, Manhattan, New York City. The group consisted of lead singer Veronica Bennett (later known as Ronnie Spector), her older sister Estelle Bennett, and their cousin Nedra Talley. They had sung together since they were teenagers, then known as ""The Darling Sisters"". Signed first by Colpix Records in 1961, they moved to Phil Spector's Philles Records in March 1963 and changed their name to ""The Ronettes"".
</p><p>The Ronettes placed nine songs on the <i>Billboard</i> Hot 100, six of which became Top 40 hits. Among their hit songs are ""Be My Baby"", which peaked at No. 2, their only contemporary top 10 hit, ""Baby, I Love You"", ""(The Best Part of) Breakin' Up"" and ""Walking in the Rain"". In 1964, the group released their only studio album, <i>Presenting the Fabulous Ronettes Featuring Veronica</i>. That year, the Rolling Stones were their opening act when they toured the UK. The Ronettes opened for the Beatles on their 1966 US tour, becoming the only girl group to tour with them, before splitting up in 1967. In the 1970s, the group was briefly revived as <b>Ronnie Spector and the Ronettes</b>.
</p><p>Their song ""Be My Baby"" was inducted into the Grammy Hall of Fame in 1999. <i>Rolling Stone</i> ranked their album <i>Presenting the Fabulous Ronettes Featuring Veronica</i> No. 422 on its list of The 500 Greatest Albums of All Time. The Ronettes were inducted into the Vocal Group Hall of Fame in 2004, and into the Rock and Roll Hall of Fame in 2007. The group also holds the record for the longest gap between top ten hits in <i>Billboard</i> history, with a just over 58-year gap.
</p>"
Brett Dennen,band,Oakdale,2003–present,Brett Dennen,"<p class=""mw-empty-elt"">
</p>
<p><b>Brett Michael Dennen</b> (born October 28, 1979) is an American folk/pop singer-songwriter from Central California. His seventh studio album, <i>See the World</i> was released in July 2021.
</p>

"
